anio_enfr,prov_nombre,grupo_edad_enfr,sexo,freq_dm,prev_dm,AVD_total
2005,Buenos Aires,18 a 24,Mujer,22757,0.02869814799550514,255159.24903756217
2005,Buenos Aires,18 a 24,Varón,14902,0.01709042949717601,167086.30879104236
2005,Buenos Aires,25 a 34,Mujer,56901,0.05500859433759803,637993.4274942359
2005,Buenos Aires,25 a 34,Varón,14315,0.01698406241272791,160504.66449763603
2005,Buenos Aires,35 a 49,Mujer,78360,0.05727396230384685,878599.0576342827
2005,Buenos Aires,35 a 49,Varón,68992,0.05630524572745132,773561.8451289489
2005,Buenos Aires,50 a 64,Mujer,157673,0.1506669855924403,1767883.4764467874
2005,Buenos Aires,50 a 64,Varón,141910,0.1320137250190594,1591143.3418693347
2005,Buenos Aires,65+,Mujer,153278,0.1842708895014937,1718605.2368053545
2005,Buenos Aires,65+,Varón,127533,0.20097007996831745,1429943.5122163473
2005,CABA,18 a 24,Mujer,1824,0.01104905442262285,20451.310376785754
2005,CABA,18 a 24,Varón,2772,0.01476832588346805,31080.60984893098
2005,CABA,25 a 34,Mujer,11620,0.04457675264512693,130287.40492228644
2005,CABA,25 a 34,Varón,8722,0.03737124445152907,97794.04008022223
2005,CABA,35 a 49,Mujer,10233,0.03129501354166537,114735.8876566056
2005,CABA,35 a 49,Varón,12249,0.05411889456243111,137339.96754673723
2005,CABA,50 a 64,Mujer,26233,0.0916324641528556,294133.3471020947
2005,CABA,50 a 64,Varón,37418,0.16022094716165286,419543.3835957069
2005,CABA,65+,Mujer,37264,0.14539382115371255,417816.68304854404
2005,CABA,65+,Varón,41465,0.22124342379071676,464919.7284942003
2005,Catamarca,18 a 24,Mujer,634,0.04039503026473158,7108.624330527505
2005,Catamarca,18 a 24,Varón,398,0.02251131320967948,4462.51180370654
2005,Catamarca,25 a 34,Mujer,1317,0.06202901437992149,14766.65338060682
2005,Catamarca,25 a 34,Varón,684,0.03690315619331587,7669.241391294658
2005,Catamarca,35 a 49,Mujer,1912,0.09775550897453283,21437.996403735942
2005,Catamarca,35 a 49,Varón,878,0.03954598684849804,9844.435587071213
2005,Catamarca,50 a 64,Mujer,2464,0.14880125755640872,27627.20875460532
2005,Catamarca,50 a 64,Varón,2264,0.18340894362871277,25384.740511536707
2005,Catamarca,65+,Mujer,2736,0.3163737280576363,30676.96556517863
2005,Catamarca,65+,Varón,878,0.12067069818582347,9844.435587071213
2005,Chaco,18 a 24,Mujer,1644,0.03319535588117851,18433.088958024
2005,Chaco,18 a 24,Varón,1385,0.029783665219986,15529.092583250149
2005,Chaco,25 a 34,Mujer,3876,0.07568686416490447,43459.03455066973
2005,Chaco,25 a 34,Varón,1059,0.02126676913932723,11873.869347048309
2005,Chaco,35 a 49,Mujer,7396,0.11115285772254101,82926.47562867732
2005,Chaco,35 a 49,Varón,2806,0.04478779269285623,31461.829450252644
2005,Chaco,50 a 64,Mujer,6375,0.16429988918385866,71478.67524781205
2005,Chaco,50 a 64,Varón,5519,0.12052850073749502,61880.911167478385
2005,Chaco,65+,Mujer,6731,0.20244217871214368,75470.26872047418
2005,Chaco,65+,Varón,3715,0.16619693106866804,41653.8476149995
2005,Chubut,18 a 24,Mujer,582,0.0292447615866157,6525.582587329665
2005,Chubut,18 a 24,Varón,770,0.03304437387471083,8633.502735814161
2005,Chubut,25 a 34,Mujer,1578,0.05590392177702206,17693.07443781136
2005,Chubut,25 a 34,Varón,465,0.01840345114180698,5213.738665134526
2005,Chubut,35 a 49,Mujer,4429,0.1252155720788221,49659.45924275444
2005,Chubut,35 a 49,Varón,2405,0.07128037945255987,26965.680622900076
2005,Chubut,50 a 64,Mujer,3220,0.11519336028333815,36103.73871340467
2005,Chubut,50 a 64,Varón,3827,0.1487600097267317,42909.62983111792
2005,Chubut,65+,Mujer,4168,0.23781809882460417,46733.03818554991
2005,Chubut,65+,Varón,1856,0.1713758079848615,20810.10529567673
2005,Corrientes,18 a 24,Mujer,3055,0.06013187683567563,34253.70241287307
2005,Corrientes,18 a 24,Varón,541,0.00959526090733678,6065.876597500599
2005,Corrientes,25 a 34,Mujer,3734,0.06329886431322712,41866.88209809101
2005,Corrientes,25 a 34,Varón,868,0.01846729926386124,9732.312174917783
2005,Corrientes,35 a 49,Mujer,3063,0.0504887335783872,34343.401142595816
2005,Corrientes,35 a 49,Varón,2746,0.04193454789793204,30789.088977332063
2005,Corrientes,50 a 64,Mujer,7615,0.1519474818534711,85381.97835483745
2005,Corrientes,50 a 64,Varón,8068,0.18872956093258436,90461.16892538786
2005,Corrientes,65+,Mujer,3686,0.1258492967040499,41328.68971975455
2005,Corrientes,65+,Varón,4464,0.2353065204803707,50051.891185291446
2005,Córdoba,18 a 24,Mujer,9569,0.05952906777828839,107290.8930896178
2005,Córdoba,18 a 24,Varón,NA,NA,0
2005,Córdoba,25 a 34,Mujer,10779,0.05925978866812544,120857.82596018292
2005,Córdoba,25 a 34,Varón,12436,0.06977500982029698,139436.67535400638
2005,Córdoba,35 a 49,Mujer,16313,0.06182749854799822,182906.92224589147
2005,Córdoba,35 a 49,Varón,15667,0.08406801852318879,175663.74982077983
2005,Córdoba,50 a 64,Mujer,32698,0.1499722511432079,366621.1330592876
2005,Córdoba,50 a 64,Varón,27451,0.15089433933224192,307789.97870238253
2005,Córdoba,65+,Mujer,38040,0.22302871113560563,426517.4598316503
2005,Córdoba,65+,Varón,31035,0.22805264279480983,347975.0096181721
2005,Entre Ríos,18 a 24,Mujer,NA,NA,0
