anio,prov_id,prov_nombre,sexo,grupo_edad,proyeccion
2010,22,Chaco,Mujer,20 a 24,9522
2010,22,Chaco,Mujer,25 a 29,47229
2010,22,Chaco,Mujer,30 a 34,42573
2010,22,Chaco,Mujer,35 a 39,39599
2010,22,Chaco,Mujer,40 a 44,33260
2010,22,Chaco,Mujer,45 a 49,29298
2010,22,Chaco,Mujer,50 a 54,27726
2010,22,Chaco,Mujer,55 a 59,25393
2010,22,Chaco,Mujer,60 a 64,21502
2010,22,Chaco,Mujer,65 a 69,16768
2010,22,Chaco,Mujer,70 a 74,13429
2010,22,Chaco,Mujer,75 a 79,11069
2010,22,Chaco,Mujer,80+,8279
2010,22,Chaco,Varón,20 a 24,5387
2010,22,Chaco,Varón,25 a 29,46125
2010,22,Chaco,Varón,30 a 34,40685
2010,22,Chaco,Varón,35 a 39,37852
2010,22,Chaco,Varón,40 a 44,31520
2010,22,Chaco,Varón,45 a 49,27830
2010,22,Chaco,Varón,50 a 54,26755
2010,22,Chaco,Varón,55 a 59,24995
2010,22,Chaco,Varón,60 a 64,21398
2010,22,Chaco,Varón,65 a 69,16294
2010,22,Chaco,Varón,70 a 74,12069
2010,22,Chaco,Varón,75 a 79,8837
2010,22,Chaco,Varón,80+,6064
2010,26,Chubut,Mujer,20 a 24,5019
2010,26,Chubut,Mujer,25 a 29,21062
2010,26,Chubut,Mujer,30 a 34,21327
2010,26,Chubut,Mujer,35 a 39,21540
2010,26,Chubut,Mujer,40 a 44,18300
2010,26,Chubut,Mujer,45 a 49,15462
2010,26,Chubut,Mujer,50 a 54,14310
2010,26,Chubut,Mujer,55 a 59,12834
2010,26,Chubut,Mujer,60 a 64,11048
2010,26,Chubut,Mujer,65 a 69,8891
2010,26,Chubut,Mujer,70 a 74,6935
2010,26,Chubut,Mujer,75 a 79,5367
2010,26,Chubut,Mujer,80+,4083
2010,26,Chubut,Varón,20 a 24,2895
2010,26,Chubut,Varón,25 a 29,21591
2010,26,Chubut,Varón,30 a 34,22019
2010,26,Chubut,Varón,35 a 39,21926
2010,26,Chubut,Varón,40 a 44,18341
2010,26,Chubut,Varón,45 a 49,15345
2010,26,Chubut,Varón,50 a 54,14327
2010,26,Chubut,Varón,55 a 59,12815
2010,26,Chubut,Varón,60 a 64,10849
2010,26,Chubut,Varón,65 a 69,8557
2010,26,Chubut,Varón,70 a 74,6261
2010,26,Chubut,Varón,75 a 79,4396
2010,26,Chubut,Varón,80+,2975
2010,30,Entre Ríos,Mujer,20 a 24,20414
2010,30,Entre Ríos,Mujer,25 a 29,49772
2010,30,Entre Ríos,Mujer,30 a 34,47137
2010,30,Entre Ríos,Mujer,35 a 39,46511
2010,30,Entre Ríos,Mujer,40 a 44,41003
2010,30,Entre Ríos,Mujer,45 a 49,36228
2010,30,Entre Ríos,Mujer,50 a 54,35263
2010,30,Entre Ríos,Mujer,55 a 59,32974
2010,30,Entre Ríos,Mujer,60 a 64,30073
2010,30,Entre Ríos,Mujer,65 a 69,26636
2010,30,Entre Ríos,Mujer,70 a 74,22404
2010,30,Entre Ríos,Mujer,75 a 79,18668
2010,30,Entre Ríos,Mujer,80+,15372
2010,30,Entre Ríos,Varón,20 a 24,9110
2010,30,Entre Ríos,Varón,25 a 29,50176
2010,30,Entre Ríos,Varón,30 a 34,46806
2010,30,Entre Ríos,Varón,35 a 39,45663
2010,30,Entre Ríos,Varón,40 a 44,40292
2010,30,Entre Ríos,Varón,45 a 49,35416
2010,30,Entre Ríos,Varón,50 a 54,33736
2010,30,Entre Ríos,Varón,55 a 59,31042
2010,30,Entre Ríos,Varón,60 a 64,28519
2010,30,Entre Ríos,Varón,65 a 69,24227
2010,30,Entre Ríos,Varón,70 a 74,19065
2010,30,Entre Ríos,Varón,75 a 79,14002
2010,30,Entre Ríos,Varón,80+,9656
2010,34,Formosa,Mujer,20 a 24,4395
2010,34,Formosa,Mujer,25 a 29,22662
2010,34,Formosa,Mujer,30 a 34,19825
2010,34,Formosa,Mujer,35 a 39,19240
2010,34,Formosa,Mujer,40 a 44,16890
2010,34,Formosa,Mujer,45 a 49,15281
2010,34,Formosa,Mujer,50 a 54,14004
2010,34,Formosa,Mujer,55 a 59,12937
2010,34,Formosa,Mujer,60 a 64,10887
2010,34,Formosa,Mujer,65 a 69,8503
2010,34,Formosa,Mujer,70 a 74,6726
2010,34,Formosa,Mujer,75 a 79,5272
2010,34,Formosa,Mujer,80+,3832
2010,34,Formosa,Varón,20 a 24,3182
2010,34,Formosa,Varón,25 a 29,22066
2010,34,Formosa,Varón,30 a 34,18677
2010,34,Formosa,Varón,35 a 39,18044
2010,34,Formosa,Varón,40 a 44,15819
2010,34,Formosa,Varón,45 a 49,14641
2010,34,Formosa,Varón,50 a 54,14093
2010,34,Formosa,Varón,55 a 59,12769
2010,34,Formosa,Varón,60 a 64,10984
2010,34,Formosa,Varón,65 a 69,8488
2010,34,Formosa,Varón,70 a 74,6517
2010,34,Formosa,Varón,75 a 79,4933
2010,34,Formosa,Varón,80+,3344
2010,38,Jujuy,Mujer,20 a 24,5755
2010,38,Jujuy,Mujer,25 a 29,28580
2010,38,Jujuy,Mujer,30 a 34,27218
2010,38,Jujuy,Mujer,35 a 39,27103
2010,38,Jujuy,Mujer,40 a 44,23173
2010,38,Jujuy,Mujer,45 a 49,19220
2010,38,Jujuy,Mujer,50 a 54,17442
2010,38,Jujuy,Mujer,55 a 59,16061
2010,38,Jujuy,Mujer,60 a 64,14244
2010,38,Jujuy,Mujer,65 a 69,11770
2010,38,Jujuy,Mujer,70 a 74,9134
2010,38,Jujuy,Mujer,75 a 79,6983
2010,38,Jujuy,Mujer,80+,5166
2010,38,Jujuy,Varón,20 a 24,3646
2010,38,Jujuy,Varón,25 a 29,28189
2010,38,Jujuy,Varón,30 a 34,26443
2010,38,Jujuy,Varón,35 a 39,26298
2010,38,Jujuy,Varón,40 a 44,22146
2010,38,Jujuy,Varón,45 a 49,17942
2010,38,Jujuy,Varón,50 a 54,16015
2010,38,Jujuy,Varón,55 a 59,14511
2010,38,Jujuy,Varón,60 a 64,13061
2010,38,Jujuy,Varón,65 a 69,10601
2010,38,Jujuy,Varón,70 a 74,8100
2010,38,Jujuy,Varón,75 a 79,6011
2010,38,Jujuy,Varón,80+,4154
2010,42,La Pampa,Mujer,20 a 24,5636
2010,42,La Pampa,Mujer,25 a 29,12275
2010,42,La Pampa,Mujer,30 a 34,11835
2010,42,La Pampa,Mujer,35 a 39,11899
2010,42,La Pampa,Mujer,40 a 44,10860
2010,42,La Pampa,Mujer,45 a 49,9892
2010,42,La Pampa,Mujer,50 a 54,9530
2010,42,La Pampa,Mujer,55 a 59,8666
2010,42,La Pampa,Mujer,60 a 64,7928
2010,42,La Pampa,Mujer,65 a 69,7223
2010,42,La Pampa,Mujer,70 a 74,6110
