anio_enfr,prov_nombre,grupo_edad_10,sexo,defun_tri,defun_mean_tri,esp_vida,AVP
2018,Mendoza,70 a 79,Varón,287,95.67,13.564680967142696,1297.7330281265417
2018,Mendoza,80+,Mujer,362,120.67,5.992080760900239,723.0643854178319
2018,Mendoza,80+,Varón,257,85.67,7.2709457701241185,622.9019241265332
2018,Misiones,20 a 29,Mujer,5,1.67,52.3461872453209,87.4181326996859
2018,Misiones,20 a 29,Varón,3,1,57.98552512050548,57.98552512050548
2018,Misiones,30 a 39,Mujer,7,2.33,43.00255580888662,100.19595503470583
2018,Misiones,30 a 39,Varón,5,1.67,48.31021760118011,80.67806339397079
2018,Misiones,40 a 49,Mujer,14,4.67,33.73444144969978,157.53984157009796
2018,Misiones,40 a 49,Varón,26,8.67,38.79985592938144,336.39475090773703
2018,Misiones,50 a 59,Mujer,57,19,24.912328939637863,473.3342498531194
2018,Misiones,50 a 59,Varón,92,30.67,29.629262971095834,908.7294953235092
2018,Misiones,60 a 69,Mujer,132,44,17.132067211169673,753.8109572914656
2018,Misiones,60 a 69,Varón,178,59.33,21.107751084002853,1252.3228718138892
2018,Misiones,70 a 79,Mujer,152,50.67,10.831570240779218,548.835664100283
2018,Misiones,70 a 79,Varón,143,47.67,13.564680967142696,646.6283417036923
2018,Misiones,80+,Mujer,148,49.33,5.992080760900239,295.5893439352088
2018,Misiones,80+,Varón,101,33.67,7.2709457701241185,244.81274408007909
2018,Neuquén,20 a 29,Mujer,2,0.67,52.3461872453209,35.07194545436501
2018,Neuquén,20 a 29,Varón,1,0.33,57.98552512050548,19.13522328976681
2018,Neuquén,30 a 39,Mujer,1,0.33,43.00255580888662,14.190843416932585
2018,Neuquén,30 a 39,Varón,3,1,48.31021760118011,48.31021760118011
2018,Neuquén,40 a 49,Mujer,11,3.67,33.73444144969978,123.80540012039819
2018,Neuquén,40 a 49,Varón,15,5,38.79985592938144,193.99927964690718
2018,Neuquén,50 a 59,Mujer,33,11,24.912328939637863,274.0356183360165
2018,Neuquén,50 a 59,Varón,42,14,29.629262971095834,414.80968159534166
2018,Neuquén,60 a 69,Mujer,75,25,17.132067211169673,428.30168027924185
2018,Neuquén,60 a 69,Varón,107,35.67,21.107751084002853,752.9134811663818
2018,Neuquén,70 a 79,Mujer,111,37,10.831570240779218,400.76809890883106
2018,Neuquén,70 a 79,Varón,154,51.33,13.564680967142696,696.2750740434345
2018,Neuquén,80+,Mujer,145,48.33,5.992080760900239,289.5972631743086
2018,Neuquén,80+,Varón,131,43.67,7.2709457701241185,317.5222017813203
2018,Río Negro,20 a 29,Mujer,0,0,52.3461872453209,0
2018,Río Negro,20 a 29,Varón,0,0,57.98552512050548,0
2018,Río Negro,30 a 39,Mujer,0,0,43.00255580888662,0
2018,Río Negro,30 a 39,Varón,3,1,48.31021760118011,48.31021760118011
2018,Río Negro,40 a 49,Mujer,5,1.67,33.73444144969978,56.33651722099863
2018,Río Negro,40 a 49,Varón,5,1.67,38.79985592938144,64.79575940206699
2018,Río Negro,50 a 59,Mujer,7,2.33,24.912328939637863,58.04572642935622
2018,Río Negro,50 a 59,Varón,34,11.33,29.629262971095834,335.6995494625158
2018,Río Negro,60 a 69,Mujer,34,11.33,17.132067211169673,194.1063215025524
2018,Río Negro,60 a 69,Varón,50,16.67,21.107751084002853,351.8662105703276
2018,Río Negro,70 a 79,Mujer,47,15.67,10.831570240779218,169.73070567301033
2018,Río Negro,70 a 79,Varón,81,27,13.564680967142696,366.2463861128528
2018,Río Negro,80+,Mujer,80,26.67,5.992080760900239,159.80879389320938
2018,Río Negro,80+,Varón,47,15.67,7.2709457701241185,113.93572021784493
2018,Salta,20 a 29,Mujer,5,1.67,52.3461872453209,87.4181326996859
2018,Salta,20 a 29,Varón,6,2,57.98552512050548,115.97105024101096
2018,Salta,30 a 39,Mujer,3,1,43.00255580888662,43.00255580888662
2018,Salta,30 a 39,Varón,6,2,48.31021760118011,96.62043520236023
2018,Salta,40 a 49,Mujer,16,5.33,33.73444144969978,179.80457292689982
2018,Salta,40 a 49,Varón,20,6.67,38.79985592938144,258.79503904897416
2018,Salta,50 a 59,Mujer,63,21,24.912328939637863,523.1589077323952
2018,Salta,50 a 59,Varón,72,24,29.629262971095834,711.1023113063
2018,Salta,60 a 69,Mujer,118,39.33,17.132067211169673,673.8042034153032
2018,Salta,60 a 69,Varón,158,52.67,21.107751084002853,1111.7452495944303
2018,Salta,70 a 79,Mujer,111,37,10.831570240779218,400.76809890883106
2018,Salta,70 a 79,Varón,148,49.33,13.564680967142696,669.1457121091491
2018,Salta,80+,Mujer,124,41.33,5.992080760900239,247.65269784800688
2018,Salta,80+,Varón,87,29,7.2709457701241185,210.85742733359945
2018,San Juan,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2018,San Juan,20 a 29,Varón,2,0.67,57.98552512050548,38.85030183073867
2018,San Juan,30 a 39,Mujer,2,0.67,43.00255580888662,28.811712391954035
2018,San Juan,30 a 39,Varón,6,2,48.31021760118011,96.62043520236023
2018,San Juan,40 a 49,Mujer,7,2.33,33.73444144969978,78.60124857780049
2018,San Juan,40 a 49,Varón,9,3,38.79985592938144,116.39956778814431
2018,San Juan,50 a 59,Mujer,30,10,24.912328939637863,249.12328939637862
2018,San Juan,50 a 59,Varón,36,12,29.629262971095834,355.55115565315
2018,San Juan,60 a 69,Mujer,74,24.67,17.132067211169673,422.64809809955585
2018,San Juan,60 a 69,Varón,102,34,21.107751084002853,717.663536856097
2018,San Juan,70 a 79,Mujer,157,52.33,10.831570240779218,566.8160706999764
2018,San Juan,70 a 79,Varón,152,50.67,13.564680967142696,687.3223846051204
2018,San Juan,80+,Mujer,161,53.67,5.992080760900239,321.5949744375159
2018,San Juan,80+,Varón,102,34,7.2709457701241185,247.21215618422002
2018,San Luis,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2018,San Luis,20 a 29,Varón,0,0,57.98552512050548,0
2018,San Luis,30 a 39,Mujer,0,0,43.00255580888662,0
2018,San Luis,30 a 39,Varón,1,0.33,48.31021760118011,15.942371808389439
2018,San Luis,40 a 49,Mujer,3,1,33.73444144969978,33.73444144969978
2018,San Luis,40 a 49,Varón,8,2.67,38.79985592938144,103.59561533144843
2018,San Luis,50 a 59,Mujer,10,3.33,24.912328939637863,82.95805536899408
2018,San Luis,50 a 59,Varón,15,5,29.629262971095834,148.14631485547918
2018,San Luis,60 a 69,Mujer,29,9.67,17.132067211169673,165.66708993201073
2018,San Luis,60 a 69,Varón,40,13.33,21.107751084002853,281.36632194975806
2018,San Luis,70 a 79,Mujer,40,13.33,10.831570240779218,144.38483130958699
2018,San Luis,70 a 79,Varón,76,25.33,13.564680967142696,343.5933688977245
2018,San Luis,80+,Mujer,63,21,5.992080760900239,125.83369597890503
2018,San Luis,80+,Varón,54,18,7.2709457701241185,130.87702386223413
2018,Santa Cruz,20 a 29,Mujer,1,0.33,52.3461872453209,17.274241790955898
2018,Santa Cruz,20 a 29,Varón,0,0,57.98552512050548,0
2018,Santa Cruz,30 a 39,Mujer,0,0,43.00255580888662,0
2018,Santa Cruz,30 a 39,Varón,0,0,48.31021760118011,0
