anio_enfr,prov_id,prov_nombre,reg_id,reg_nombre,grupo_edad_10,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv
2013,14,Córdoba,2,Pampeana,20-29 años,Varón,11331,7802.92,0.69,0.05,0.03,0.67
2013,14,Córdoba,2,Pampeana,30-39 años,Mujer,17873,7021.54,0.39,0.09,0.03,0.37
2013,14,Córdoba,2,Pampeana,30-39 años,Varón,7688,2955.93,0.38,0.04,0.01,0.39
2013,14,Córdoba,2,Pampeana,40-49 años,Mujer,32448,10498.11,0.32,0.17,0.05,0.29
2013,14,Córdoba,2,Pampeana,40-49 años,Varón,19011,6345.14,0.33,0.12,0.04,0.33
2013,14,Córdoba,2,Pampeana,50-59 años,Mujer,19232,4776.11,0.25,0.14,0.03,0.25
2013,14,Córdoba,2,Pampeana,50-59 años,Varón,28740,6905.81,0.24,0.22,0.05,0.23
2013,14,Córdoba,2,Pampeana,60-69 años,Mujer,45899,14047.07,0.31,0.29,0.07,0.24
2013,14,Córdoba,2,Pampeana,60-69 años,Varón,22311,9005.38,0.4,0.19,0.07,0.36
2013,14,Córdoba,2,Pampeana,70-79 años,Mujer,18997,7285.94,0.38,0.24,0.08,0.32
2013,14,Córdoba,2,Pampeana,70-79 años,Varón,31177,14448.42,0.46,0.55,0.13,0.23
2013,14,Córdoba,2,Pampeana,80+ años,Mujer,5634,3529.85,0.63,0.1,0.06,0.59
2013,14,Córdoba,2,Pampeana,80+ años,Varón,2353,1577.64,0.67,0.08,0.06,0.72
2013,18,Corrientes,4,Noreste,20-29 años,Mujer,2037,1138.05,0.56,0.03,0.01,0.56
2013,18,Corrientes,4,Noreste,20-29 años,Varón,1987,1184.32,0.6,0.03,0.02,0.6
2013,18,Corrientes,4,Noreste,30-39 años,Mujer,3140,1121.2,0.36,0.05,0.02,0.36
2013,18,Corrientes,4,Noreste,30-39 años,Varón,1334,955.78,0.72,0.03,0.02,0.71
2013,18,Corrientes,4,Noreste,40-49 años,Mujer,3986,1417.18,0.36,0.09,0.03,0.34
2013,18,Corrientes,4,Noreste,40-49 años,Varón,1307,732.31,0.56,0.03,0.02,0.56
2013,18,Corrientes,4,Noreste,50-59 años,Mujer,7882,2203.58,0.28,0.18,0.05,0.25
2013,18,Corrientes,4,Noreste,50-59 años,Varón,2412,1454.56,0.6,0.07,0.04,0.58
2013,18,Corrientes,4,Noreste,60-69 años,Mujer,4864,2285.62,0.47,0.19,0.08,0.4
2013,18,Corrientes,4,Noreste,60-69 años,Varón,3222,1383.39,0.43,0.13,0.05,0.42
2013,18,Corrientes,4,Noreste,70-79 años,Mujer,4353,1232.57,0.28,0.21,0.06,0.27
2013,18,Corrientes,4,Noreste,70-79 años,Varón,3166,1207.5,0.38,0.18,0.07,0.39
2013,18,Corrientes,4,Noreste,80+ años,Mujer,1988,1012.23,0.51,0.23,0.11,0.46
2013,18,Corrientes,4,Noreste,80+ años,Varón,219,219,1,0.06,0.06,1.01
2013,22,Chaco,4,Noreste,20-29 años,Mujer,3784,1734.49,0.46,0.05,0.02,0.46
2013,22,Chaco,4,Noreste,20-29 años,Varón,1410,1032.58,0.73,0.02,0.01,0.73
2013,22,Chaco,4,Noreste,30-39 años,Mujer,10359,4910.44,0.47,0.14,0.06,0.42
2013,22,Chaco,4,Noreste,30-39 años,Varón,4323,1805.4,0.42,0.08,0.03,0.41
2013,22,Chaco,4,Noreste,40-49 años,Mujer,3192,1496.3,0.47,0.08,0.04,0.46
2013,22,Chaco,4,Noreste,40-49 años,Varón,1717,1079.87,0.63,0.04,0.02,0.63
2013,22,Chaco,4,Noreste,50-59 años,Mujer,2800,1390.29,0.5,0.07,0.03,0.48
2013,22,Chaco,4,Noreste,50-59 años,Varón,6583,2406.09,0.37,0.17,0.06,0.34
2013,22,Chaco,4,Noreste,60-69 años,Mujer,5490,1741.14,0.32,0.18,0.05,0.29
2013,22,Chaco,4,Noreste,60-69 años,Varón,2220,954.66,0.43,0.09,0.04,0.43
2013,22,Chaco,4,Noreste,70-79 años,Mujer,3583,1940.55,0.54,0.18,0.09,0.48
2013,22,Chaco,4,Noreste,70-79 años,Varón,3328,1273.21,0.38,0.36,0.12,0.34
2013,22,Chaco,4,Noreste,80+ años,Mujer,1691,1099.42,0.65,0.33,0.17,0.51
2013,22,Chaco,4,Noreste,80+ años,Varón,235,235,1,0.07,0.07,1.05
2013,26,Chubut,6,Patagónica,20-29 años,Mujer,2696,1094.03,0.41,0.06,0.02,0.39
2013,26,Chubut,6,Patagónica,20-29 años,Varón,1589,1017.96,0.64,0.04,0.03,0.62
2013,26,Chubut,6,Patagónica,30-39 años,Mujer,2999,955.84,0.32,0.08,0.02,0.3
2013,26,Chubut,6,Patagónica,30-39 años,Varón,3802,1160.89,0.31,0.09,0.03,0.29
2013,26,Chubut,6,Patagónica,40-49 años,Mujer,1813,607.49,0.34,0.06,0.02,0.33
2013,26,Chubut,6,Patagónica,40-49 años,Varón,2416,858.77,0.36,0.09,0.03,0.34
2013,26,Chubut,6,Patagónica,50-59 años,Mujer,4194,1165.98,0.28,0.18,0.04,0.25
2013,26,Chubut,6,Patagónica,50-59 años,Varón,2175,687.39,0.32,0.1,0.03,0.31
2013,26,Chubut,6,Patagónica,60-69 años,Mujer,3513,975.41,0.28,0.21,0.05,0.25
2013,26,Chubut,6,Patagónica,60-69 años,Varón,1749,682.44,0.39,0.12,0.04,0.37
2013,26,Chubut,6,Patagónica,70-79 años,Mujer,2631,866.05,0.33,0.29,0.08,0.27
2013,26,Chubut,6,Patagónica,70-79 años,Varón,1577,714.79,0.45,0.23,0.09,0.39
2013,26,Chubut,6,Patagónica,80+ años,Mujer,579,291.49,0.5,0.11,0.05,0.5
2013,26,Chubut,6,Patagónica,80+ años,Varón,497,352.2,0.71,0.16,0.1,0.65
2013,30,Entre Ríos,2,Pampeana,20-29 años,Mujer,2804,1145.43,0.41,0.03,0.01,0.41
2013,30,Entre Ríos,2,Pampeana,20-29 años,Varón,1384,973.09,0.7,0.02,0.01,0.7
2013,30,Entre Ríos,2,Pampeana,30-39 años,Mujer,2516,934.96,0.37,0.03,0.01,0.37
2013,30,Entre Ríos,2,Pampeana,30-39 años,Varón,4053,1815.47,0.45,0.06,0.03,0.44
2013,30,Entre Ríos,2,Pampeana,40-49 años,Mujer,6219,2849,0.46,0.1,0.04,0.43
2013,30,Entre Ríos,2,Pampeana,40-49 años,Varón,3329,1381.6,0.42,0.06,0.02,0.41
2013,30,Entre Ríos,2,Pampeana,50-59 años,Mujer,4816,2101.48,0.44,0.09,0.04,0.41
2013,30,Entre Ríos,2,Pampeana,50-59 años,Varón,6178,1983.93,0.32,0.12,0.04,0.31
2013,30,Entre Ríos,2,Pampeana,60-69 años,Mujer,7640,1884.13,0.25,0.16,0.04,0.23
2013,30,Entre Ríos,2,Pampeana,60-69 años,Varón,5713,2392.7,0.42,0.18,0.07,0.37
2013,30,Entre Ríos,2,Pampeana,70-79 años,Mujer,3712,1171.76,0.32,0.11,0.03,0.31
2013,30,Entre Ríos,2,Pampeana,70-79 años,Varón,4478,2123.8,0.47,0.21,0.09,0.42
2013,30,Entre Ríos,2,Pampeana,80+ años,Mujer,1877,792.2,0.42,0.16,0.06,0.4
2013,30,Entre Ríos,2,Pampeana,80+ años,Varón,1380,1138.7,0.83,0.21,0.15,0.69
2013,34,Formosa,4,Noreste,20-29 años,Mujer,848,441.76,0.52,0.03,0.01,0.52
2013,34,Formosa,4,Noreste,20-29 años,Varón,2180,1284.79,0.59,0.08,0.04,0.56
2013,34,Formosa,4,Noreste,30-39 años,Mujer,1312,456.07,0.35,0.05,0.02,0.34
2013,34,Formosa,4,Noreste,30-39 años,Varón,0,0,NA,0,0,NA
2013,34,Formosa,4,Noreste,40-49 años,Mujer,684,447.63,0.65,0.03,0.02,0.64
2013,34,Formosa,4,Noreste,40-49 años,Varón,1259,561.47,0.45,0.06,0.03,0.43
2013,34,Formosa,4,Noreste,50-59 años,Mujer,2321,1071.06,0.46,0.13,0.06,0.43
2013,34,Formosa,4,Noreste,50-59 años,Varón,1461,739.51,0.51,0.09,0.04,0.48
2013,34,Formosa,4,Noreste,60-69 años,Mujer,2414,927.55,0.38,0.2,0.07,0.34
2013,34,Formosa,4,Noreste,60-69 años,Varón,1765,707.36,0.4,0.18,0.07,0.37
2013,34,Formosa,4,Noreste,70-79 años,Mujer,1089,566.35,0.52,0.16,0.08,0.5
2013,34,Formosa,4,Noreste,70-79 años,Varón,1587,880.3,0.55,0.24,0.11,0.47
2013,34,Formosa,4,Noreste,80+ años,Mujer,754,466.27,0.62,0.15,0.09,0.6
2013,34,Formosa,4,Noreste,80+ años,Varón,638,638,1,0.24,0.2,0.82
2013,38,Jujuy,3,Noroeste,20-29 años,Mujer,1137,679.45,0.6,0.02,0.01,0.59
2013,38,Jujuy,3,Noroeste,20-29 años,Varón,1883,1009.29,0.54,0.04,0.02,0.53
2013,38,Jujuy,3,Noroeste,30-39 años,Mujer,3342,1088.33,0.33,0.07,0.02,0.31
2013,38,Jujuy,3,Noroeste,30-39 años,Varón,1298,686.26,0.53,0.04,0.02,0.52
2013,38,Jujuy,3,Noroeste,40-49 años,Mujer,3663,1438.1,0.39,0.11,0.04,0.37
2013,38,Jujuy,3,Noroeste,40-49 años,Varón,1821,1041.46,0.57,0.06,0.03,0.55
2013,38,Jujuy,3,Noroeste,50-59 años,Mujer,2219,872.96,0.39,0.08,0.03,0.38
2013,38,Jujuy,3,Noroeste,50-59 años,Varón,1316,617.97,0.47,0.05,0.02,0.47
2013,38,Jujuy,3,Noroeste,60-69 años,Mujer,4865,1614.58,0.33,0.24,0.07,0.28
2013,38,Jujuy,3,Noroeste,60-69 años,Varón,3475,1141.81,0.33,0.19,0.06,0.31
2013,38,Jujuy,3,Noroeste,70-79 años,Mujer,186,131.52,0.71,0.02,0.02,0.73
2013,38,Jujuy,3,Noroeste,70-79 años,Varón,346,277.1,0.8,0.05,0.04,0.8
2013,38,Jujuy,3,Noroeste,80+ años,Mujer,2178,1166.2,0.54,0.32,0.13,0.41
2013,38,Jujuy,3,Noroeste,80+ años,Varón,326,326,1,0.09,0.09,0.97
2013,42,La Pampa,2,Pampeana,20-29 años,Mujer,1243,591.18,0.48,0.07,0.03,0.46
2013,42,La Pampa,2,Pampeana,20-29 años,Varón,316,316,1,0.02,0.02,0.99
2013,42,La Pampa,2,Pampeana,30-39 años,Mujer,1953,681.12,0.35,0.11,0.03,0.32
2013,42,La Pampa,2,Pampeana,30-39 años,Varón,803,408.49,0.51,0.06,0.03,0.49
2013,42,La Pampa,2,Pampeana,40-49 años,Mujer,1183,568.13,0.48,0.09,0.04,0.45
2013,42,La Pampa,2,Pampeana,40-49 años,Varón,903,454.77,0.5,0.06,0.03,0.49
2013,42,La Pampa,2,Pampeana,50-59 años,Mujer,1836,947.82,0.52,0.14,0.06,0.46
2013,42,La Pampa,2,Pampeana,50-59 años,Varón,1138,573.12,0.5,0.1,0.05,0.48
2013,42,La Pampa,2,Pampeana,60-69 años,Mujer,1252,518.31,0.41,0.17,0.06,0.38
2013,42,La Pampa,2,Pampeana,60-69 años,Varón,904,429.25,0.47,0.11,0.05,0.45
2013,42,La Pampa,2,Pampeana,70-79 años,Mujer,974,503.25,0.52,0.13,0.06,0.47
2013,42,La Pampa,2,Pampeana,70-79 años,Varón,767,445.36,0.58,0.14,0.07,0.53
2013,42,La Pampa,2,Pampeana,80+ años,Mujer,453,223.49,0.49,0.1,0.05,0.48
2013,42,La Pampa,2,Pampeana,80+ años,Varón,357,292.51,0.82,0.17,0.12,0.75
2013,46,La Rioja,3,Noroeste,20-29 años,Mujer,1751,615.96,0.35,0.06,0.02,0.34
2013,46,La Rioja,3,Noroeste,20-29 años,Varón,30,30,1,0,0,1.01
2013,46,La Rioja,3,Noroeste,30-39 años,Mujer,1378,616.62,0.45,0.07,0.03,0.43
2013,46,La Rioja,3,Noroeste,30-39 años,Varón,1042,506.5,0.49,0.05,0.02,0.48
2013,46,La Rioja,3,Noroeste,40-49 años,Mujer,1116,767.61,0.69,0.07,0.05,0.65
2013,46,La Rioja,3,Noroeste,40-49 años,Varón,1855,621,0.33,0.12,0.04,0.32
2013,46,La Rioja,3,Noroeste,50-59 años,Mujer,2293,731.24,0.32,0.18,0.05,0.29
2013,46,La Rioja,3,Noroeste,50-59 años,Varón,1581,575,0.36,0.13,0.05,0.35
2013,46,La Rioja,3,Noroeste,60-69 años,Mujer,492,220.44,0.45,0.05,0.02,0.45
2013,46,La Rioja,3,Noroeste,60-69 años,Varón,2204,797.91,0.36,0.28,0.09,0.31
2013,46,La Rioja,3,Noroeste,70-79 años,Mujer,1257,556.31,0.44,0.28,0.11,0.38
2013,46,La Rioja,3,Noroeste,70-79 años,Varón,1166,536.53,0.46,0.3,0.12,0.4
2013,46,La Rioja,3,Noroeste,80+ años,Mujer,555,268.22,0.48,0.2,0.09,0.46
2013,46,La Rioja,3,Noroeste,80+ años,Varón,121,87.09,0.72,0.09,0.07,0.78
2013,50,Mendoza,5,Cuyo,20-29 años,Mujer,4111,1758.1,0.43,0.03,0.01,0.42
2013,50,Mendoza,5,Cuyo,20-29 años,Varón,2345,1358.4,0.58,0.02,0.01,0.58
2013,50,Mendoza,5,Cuyo,30-39 años,Mujer,7145,2776.52,0.39,0.07,0.03,0.37
2013,50,Mendoza,5,Cuyo,30-39 años,Varón,0,0,NA,0,0,NA
2013,50,Mendoza,5,Cuyo,40-49 años,Mujer,7065,2374.9,0.34,0.09,0.03,0.32
2013,50,Mendoza,5,Cuyo,40-49 años,Varón,9156,3706.11,0.4,0.11,0.04,0.37
2013,50,Mendoza,5,Cuyo,50-59 años,Mujer,7604,2676.11,0.35,0.11,0.04,0.33
2013,50,Mendoza,5,Cuyo,50-59 años,Varón,10341,3290.94,0.32,0.15,0.04,0.29
2013,50,Mendoza,5,Cuyo,60-69 años,Mujer,10451,2668.92,0.26,0.14,0.03,0.24
2013,50,Mendoza,5,Cuyo,60-69 años,Varón,7502,2611.98,0.35,0.15,0.05,0.32
2013,50,Mendoza,5,Cuyo,70-79 años,Mujer,5240,1706.68,0.33,0.13,0.04,0.31
2013,50,Mendoza,5,Cuyo,70-79 años,Varón,8025,2562.1,0.32,0.26,0.07,0.28
2013,50,Mendoza,5,Cuyo,80+ años,Mujer,4869,2491.46,0.51,0.26,0.11,0.41
2013,50,Mendoza,5,Cuyo,80+ años,Varón,5623,2321.22,0.41,0.62,0.14,0.22
2013,54,Misiones,4,Noreste,20-29 años,Mujer,4506,2333.62,0.52,0.06,0.03,0.5
2013,54,Misiones,4,Noreste,20-29 años,Varón,1024,846.45,0.83,0.01,0.01,0.82
2013,54,Misiones,4,Noreste,30-39 años,Mujer,4324,1674.04,0.39,0.08,0.03,0.37
2013,54,Misiones,4,Noreste,30-39 años,Varón,1408,998.62,0.71,0.03,0.02,0.7
2013,54,Misiones,4,Noreste,40-49 años,Mujer,4820,1638.77,0.34,0.1,0.03,0.33
2013,54,Misiones,4,Noreste,40-49 años,Varón,3645,2047.46,0.56,0.07,0.04,0.54
2013,54,Misiones,4,Noreste,50-59 años,Mujer,3869,1561.35,0.4,0.1,0.04,0.39
2013,54,Misiones,4,Noreste,50-59 años,Varón,4870,2791.61,0.57,0.14,0.07,0.52
2013,54,Misiones,4,Noreste,60-69 años,Mujer,6521,1973.16,0.3,0.25,0.07,0.26
2013,54,Misiones,4,Noreste,60-69 años,Varón,6049,2000.35,0.33,0.26,0.07,0.28
2013,54,Misiones,4,Noreste,70-79 años,Mujer,2646,1239.37,0.47,0.17,0.07,0.43
2013,54,Misiones,4,Noreste,70-79 años,Varón,3575,1662.51,0.47,0.36,0.13,0.35
2013,54,Misiones,4,Noreste,80+ años,Mujer,0,0,NA,0,0,NA
2013,54,Misiones,4,Noreste,80+ años,Varón,772,772,1,0.23,0.19,0.82
2013,58,Neuquén,6,Patagónica,20-29 años,Mujer,5485,1624.8,0.3,0.15,0.04,0.28
2013,58,Neuquén,6,Patagónica,20-29 años,Varón,1277,746.02,0.58,0.03,0.02,0.58
2013,58,Neuquén,6,Patagónica,30-39 años,Mujer,4307,1350.85,0.31,0.1,0.03,0.3
2013,58,Neuquén,6,Patagónica,30-39 años,Varón,2492,1067.4,0.43,0.06,0.02,0.42
2013,58,Neuquén,6,Patagónica,40-49 años,Mujer,3292,1357.62,0.41,0.1,0.04,0.39
2013,58,Neuquén,6,Patagónica,40-49 años,Varón,2814,1190.06,0.42,0.1,0.04,0.4
2013,58,Neuquén,6,Patagónica,50-59 años,Mujer,3606,1173.78,0.33,0.13,0.04,0.31
2013,58,Neuquén,6,Patagónica,50-59 años,Varón,2058,990.25,0.48,0.09,0.04,0.46
2013,58,Neuquén,6,Patagónica,60-69 años,Mujer,2851,979.85,0.34,0.19,0.06,0.31
