anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,dm_total,dm_total_cv,dm_prev,dm_prev_cv
2005,26,Chubut,40 a 49,Mujer,2285,0.24,0.12,0.23
2005,26,Chubut,40 a 49,Varón,1949,0.32,0.09,0.31
2005,26,Chubut,50 a 59,Mujer,2475,0.24,0.12,0.24
2005,26,Chubut,50 a 59,Varón,3056,0.26,0.17,0.24
2005,26,Chubut,60 a 69,Mujer,2081,0.33,0.15,0.3
2005,26,Chubut,60 a 69,Varón,1436,0.29,0.1,0.31
2005,26,Chubut,70 a 79,Mujer,1710,0.24,0.25,0.23
2005,26,Chubut,70 a 79,Varón,1109,0.33,0.27,0.29
2005,26,Chubut,80+,Mujer,1122,0.52,0.31,0.39
2005,26,Chubut,80+,Varón,82,1,0.19,1.06
2005,30,Entre Ríos,20 a 29,Mujer,3298,0.47,0.04,0.46
2005,30,Entre Ríos,20 a 29,Varón,577,0.71,0.01,0.71
2005,30,Entre Ríos,30 a 39,Mujer,3604,0.37,0.06,0.36
2005,30,Entre Ríos,30 a 39,Varón,1065,0.62,0.02,0.62
2005,30,Entre Ríos,40 a 49,Mujer,1830,0.48,0.04,0.47
2005,30,Entre Ríos,40 a 49,Varón,1847,0.43,0.03,0.43
2005,30,Entre Ríos,50 a 59,Mujer,6341,0.32,0.13,0.29
2005,30,Entre Ríos,50 a 59,Varón,8914,0.3,0.17,0.27
2005,30,Entre Ríos,60 a 69,Mujer,5330,0.29,0.13,0.28
2005,30,Entre Ríos,60 a 69,Varón,4061,0.36,0.13,0.34
2005,30,Entre Ríos,70 a 79,Mujer,7808,0.37,0.27,0.29
2005,30,Entre Ríos,70 a 79,Varón,4717,0.38,0.19,0.34
2005,30,Entre Ríos,80+,Mujer,2383,0.43,0.13,0.46
2005,30,Entre Ríos,80+,Varón,1101,0.78,0.2,0.7
2005,34,Formosa,20 a 29,Mujer,1438,0.29,0.05,0.29
2005,34,Formosa,20 a 29,Varón,177,0.71,0.01,0.71
2005,34,Formosa,30 a 39,Mujer,761,0.35,0.03,0.35
2005,34,Formosa,30 a 39,Varón,969,0.34,0.04,0.34
2005,34,Formosa,40 a 49,Mujer,1842,0.27,0.1,0.26
2005,34,Formosa,40 a 49,Varón,2256,0.33,0.11,0.31
2005,34,Formosa,50 a 59,Mujer,2918,0.41,0.2,0.34
2005,34,Formosa,50 a 59,Varón,1380,0.32,0.09,0.31
2005,34,Formosa,60 a 69,Mujer,2509,0.32,0.33,0.27
2005,34,Formosa,60 a 69,Varón,655,0.42,0.11,0.43
2005,34,Formosa,70 a 79,Mujer,1711,0.53,0.23,0.49
2005,34,Formosa,70 a 79,Varón,135,0.66,0.04,0.69
2005,34,Formosa,80+,Mujer,325,0.49,0.14,0.49
2005,34,Formosa,80+,Varón,74,0.71,0.04,0.75
2005,38,Jujuy,20 a 29,Mujer,663,0.63,0.02,0.63
2005,38,Jujuy,20 a 29,Varón,0,NA,0,NA
2005,38,Jujuy,30 a 39,Mujer,1077,0.41,0.02,0.41
2005,38,Jujuy,30 a 39,Varón,509,0.57,0.02,0.57
2005,38,Jujuy,40 a 49,Mujer,1582,0.32,0.06,0.32
2005,38,Jujuy,40 a 49,Varón,752,0.51,0.03,0.51
2005,38,Jujuy,50 a 59,Mujer,1008,0.37,0.04,0.41
2005,38,Jujuy,50 a 59,Varón,2327,0.39,0.1,0.37
2005,38,Jujuy,60 a 69,Mujer,1174,0.34,0.1,0.34
2005,38,Jujuy,60 a 69,Varón,2773,0.29,0.18,0.27
2005,38,Jujuy,70 a 79,Mujer,667,0.4,0.07,0.41
2005,38,Jujuy,70 a 79,Varón,564,0.52,0.07,0.57
2005,38,Jujuy,80+,Mujer,289,0.52,0.1,0.51
2005,38,Jujuy,80+,Varón,214,0.71,0.09,0.71
2005,42,La Pampa,20 a 29,Mujer,709,0.38,0.05,0.38
2005,42,La Pampa,20 a 29,Varón,57,1,0,1
2005,42,La Pampa,30 a 39,Mujer,1878,0.34,0.1,0.32
2005,42,La Pampa,30 a 39,Varón,194,0.72,0.01,0.72
2005,42,La Pampa,40 a 49,Mujer,1129,0.29,0.1,0.28
2005,42,La Pampa,40 a 49,Varón,97,1,0.01,1
2005,42,La Pampa,50 a 59,Mujer,992,0.33,0.09,0.31
2005,42,La Pampa,50 a 59,Varón,1329,0.35,0.13,0.33
2005,42,La Pampa,60 a 69,Mujer,976,0.41,0.15,0.37
2005,42,La Pampa,60 a 69,Varón,790,0.41,0.15,0.38
2005,42,La Pampa,70 a 79,Mujer,598,0.36,0.12,0.34
2005,42,La Pampa,70 a 79,Varón,1239,0.36,0.24,0.31
2005,42,La Pampa,80+,Mujer,154,0.68,0.06,0.66
2005,42,La Pampa,80+,Varón,114,0.75,0.1,0.75
2005,46,La Rioja,20 a 29,Mujer,1266,0.34,0.05,0.33
2005,46,La Rioja,20 a 29,Varón,489,0.46,0.02,0.46
2005,46,La Rioja,30 a 39,Mujer,1443,0.28,0.08,0.27
2005,46,La Rioja,30 a 39,Varón,192,0.63,0.01,0.63
2005,46,La Rioja,40 a 49,Mujer,1741,0.25,0.14,0.23
2005,46,La Rioja,40 a 49,Varón,1187,0.32,0.09,0.3
2005,46,La Rioja,50 a 59,Mujer,2537,0.23,0.25,0.19
2005,46,La Rioja,50 a 59,Varón,1347,0.32,0.13,0.3
2005,46,La Rioja,60 a 69,Mujer,1116,0.33,0.17,0.3
2005,46,La Rioja,60 a 69,Varón,970,0.35,0.13,0.34
2005,46,La Rioja,70 a 79,Mujer,1124,0.34,0.32,0.26
2005,46,La Rioja,70 a 79,Varón,1116,0.34,0.49,0.22
2005,46,La Rioja,80+,Mujer,259,0.68,0.21,0.59
2005,46,La Rioja,80+,Varón,33,1,0.02,1.03
2005,50,Mendoza,20 a 29,Mujer,1586,0.58,0.02,0.57
2005,50,Mendoza,20 a 29,Varón,3334,0.58,0.03,0.57
2005,50,Mendoza,30 a 39,Mujer,610,1,0.01,1
2005,50,Mendoza,30 a 39,Varón,499,0.71,0.01,0.71
2005,50,Mendoza,40 a 49,Mujer,6126,0.27,0.08,0.26
2005,50,Mendoza,40 a 49,Varón,2946,0.44,0.04,0.44
2005,50,Mendoza,50 a 59,Mujer,5773,0.35,0.09,0.33
2005,50,Mendoza,50 a 59,Varón,9521,0.33,0.14,0.3
2005,50,Mendoza,60 a 69,Mujer,8268,0.31,0.14,0.28
2005,50,Mendoza,60 a 69,Varón,3386,0.36,0.1,0.36
2005,50,Mendoza,70 a 79,Mujer,4397,0.31,0.1,0.31
2005,50,Mendoza,70 a 79,Varón,4732,0.34,0.22,0.3
2005,50,Mendoza,80+,Mujer,3399,0.41,0.2,0.37
2005,50,Mendoza,80+,Varón,3413,0.39,0.33,0.32
2005,54,Misiones,20 a 29,Mujer,1131,0.52,0.02,0.52
2005,54,Misiones,20 a 29,Varón,1057,0.52,0.02,0.51
2005,54,Misiones,30 a 39,Mujer,3807,0.29,0.07,0.28
2005,54,Misiones,30 a 39,Varón,1085,0.45,0.03,0.45
2005,54,Misiones,40 a 49,Mujer,2103,0.42,0.06,0.4
2005,54,Misiones,40 a 49,Varón,2409,0.38,0.07,0.37
2005,54,Misiones,50 a 59,Mujer,4012,0.35,0.14,0.32
2005,54,Misiones,50 a 59,Varón,3059,0.31,0.1,0.3
2005,54,Misiones,60 a 69,Mujer,5126,0.29,0.25,0.24
2005,54,Misiones,60 a 69,Varón,2564,0.3,0.19,0.28
2005,54,Misiones,70 a 79,Mujer,1063,0.47,0.1,0.45
2005,54,Misiones,70 a 79,Varón,2067,0.38,0.15,0.37
2005,54,Misiones,80+,Mujer,386,0.64,0.13,0.62
2005,54,Misiones,80+,Varón,720,0.49,0.17,0.5
2005,58,Neuquén,20 a 29,Mujer,1908,0.34,0.06,0.33
2005,58,Neuquén,20 a 29,Varón,1471,0.46,0.05,0.45
2005,58,Neuquén,30 a 39,Mujer,3947,0.23,0.11,0.22
2005,58,Neuquén,30 a 39,Varón,2085,0.35,0.07,0.34
2005,58,Neuquén,40 a 49,Mujer,1800,0.34,0.07,0.32
2005,58,Neuquén,40 a 49,Varón,804,0.53,0.04,0.52
2005,58,Neuquén,50 a 59,Mujer,2298,0.32,0.13,0.29
2005,58,Neuquén,50 a 59,Varón,3369,0.29,0.15,0.26
2005,58,Neuquén,60 a 69,Mujer,1457,0.34,0.19,0.31
2005,58,Neuquén,60 a 69,Varón,1999,0.32,0.22,0.28
2005,58,Neuquén,70 a 79,Mujer,1513,0.32,0.17,0.32
2005,58,Neuquén,70 a 79,Varón,1097,0.36,0.17,0.35
2005,58,Neuquén,80+,Mujer,639,0.42,0.22,0.4
2005,58,Neuquén,80+,Varón,0,NA,0,NA
2005,62,Río Negro,20 a 29,Mujer,1335,0.34,0.05,0.33
2005,62,Río Negro,20 a 29,Varón,1086,0.45,0.03,0.44
2005,62,Río Negro,30 a 39,Mujer,2690,0.31,0.07,0.3
2005,62,Río Negro,30 a 39,Varón,513,0.74,0.02,0.74
2005,62,Río Negro,40 a 49,Mujer,3001,0.27,0.13,0.25
2005,62,Río Negro,40 a 49,Varón,1829,0.44,0.07,0.42
2005,62,Río Negro,50 a 59,Mujer,4634,0.21,0.18,0.2
2005,62,Río Negro,50 a 59,Varón,1915,0.39,0.08,0.38
2005,62,Río Negro,60 a 69,Mujer,2605,0.35,0.16,0.31
2005,62,Río Negro,60 a 69,Varón,4207,0.32,0.26,0.27
2005,62,Río Negro,70 a 79,Mujer,3354,0.28,0.32,0.22
2005,62,Río Negro,70 a 79,Varón,1794,0.32,0.24,0.29
2005,62,Río Negro,80+,Mujer,629,0.51,0.14,0.49
2005,62,Río Negro,80+,Varón,895,0.93,0.24,0.77
2005,66,Salta,20 a 29,Mujer,1966,0.53,0.02,0.52
2005,66,Salta,20 a 29,Varón,511,0.9,0.01,0.89
2005,66,Salta,30 a 39,Mujer,2140,0.5,0.03,0.49
2005,66,Salta,30 a 39,Varón,1014,0.47,0.02,0.47
2005,66,Salta,40 a 49,Mujer,2093,0.37,0.05,0.37
2005,66,Salta,40 a 49,Varón,2024,0.42,0.05,0.41
2005,66,Salta,50 a 59,Mujer,4020,0.27,0.1,0.27
2005,66,Salta,50 a 59,Varón,1072,0.58,0.03,0.58
2005,66,Salta,60 a 69,Mujer,1631,0.32,0.08,0.32
2005,66,Salta,60 a 69,Varón,2103,0.44,0.12,0.41
