anio_enfr,prov_nombre,grupo_edad_enfr,sexo,dm_auto,prev,prev_low,prev_upp
2005,Buenos Aires,18 a 24,Masculino,Si,0.01709042949717601,0.0034601073139585085,0.08009865110857088
2005,Buenos Aires,25 a 34,Masculino,Si,0.01698406241272791,0.006228669961882032,0.045461786614299594
2005,Buenos Aires,35 a 49,Masculino,Si,0.056305245727451325,0.032246734048937,0.096522966619307607
2005,Buenos Aires,50 a 64,Masculino,Si,0.1320137250190594,0.09187274751469234,0.1860990008640436
2005,Buenos Aires,65+,Masculino,Si,0.20097007996831745,0.13930483437637364,0.28101975915787697
2005,Buenos Aires,18 a 24,Femenino,Si,0.028698147995505144,0.012798311844215137,0.06308861943157935
2005,Buenos Aires,25 a 34,Femenino,Si,0.055008594337598034,0.03164652785810275,0.09394384639171355
2005,Buenos Aires,35 a 49,Femenino,Si,0.057273962303846855,0.036891430425672306,0.08789017704219793
2005,Buenos Aires,50 a 64,Femenino,Si,0.1506669855924403,0.10789474206860322,0.20647090443536928
2005,Buenos Aires,65+,Femenino,Si,0.1842708895014937,0.13511863202396662,0.24621321683059352
2009,Buenos Aires,18 a 24,Masculino,Si,0.02729825117891567,0.012890967164556032,0.05687966013073954
2009,Buenos Aires,25 a 34,Masculino,Si,0.024419528755975636,0.012717270559768491,0.046384134561952124
2009,Buenos Aires,35 a 49,Masculino,Si,0.04763026013508754,0.032420492498268616,0.06946328208999668
2009,Buenos Aires,50 a 64,Masculino,Si,0.16632158683520895,0.13109494695667726,0.20874001157358343
2009,Buenos Aires,65+,Masculino,Si,0.21037517016891932,0.16612112340933188,0.2627043003373536
2009,Buenos Aires,18 a 24,Femenino,Si,0.03816576139590538,0.02207999964516721,0.06518916245655378
2009,Buenos Aires,25 a 34,Femenino,Si,0.056679558657606356,0.03739830064285533,0.08502352604452716
2009,Buenos Aires,35 a 49,Femenino,Si,0.09870819223282996,0.0767511726343645,0.1260888223708572
2009,Buenos Aires,50 a 64,Femenino,Si,0.16263119175001103,0.13178376266041064,0.199043889423333
2009,Buenos Aires,65+,Femenino,Si,0.1736838844343603,0.1419599795156661,0.21075583130592232
2013,Buenos Aires,18 a 24,Masculino,Si,0.043818366827922166,0.016178720929498437,0.11324227539469704
2013,Buenos Aires,25 a 34,Masculino,Si,0.0458614583880623,0.023571353604631327,0.0873445267035968
2013,Buenos Aires,35 a 49,Masculino,Si,0.0853156456515075,0.05856773577660445,0.12268737764414256
2013,Buenos Aires,50 a 64,Masculino,Si,0.13763173731976386,0.10024397428723392,0.1860800572862576
2013,Buenos Aires,65+,Masculino,Si,0.20692800148041915,0.15389203213070032,0.2723582587582626
2013,Buenos Aires,18 a 24,Femenino,Si,0.031868112898142606,0.013200497366688917,0.07493018138414884
2013,Buenos Aires,25 a 34,Femenino,Si,0.04702417319232572,0.02792925486189146,0.07812485055891302
2013,Buenos Aires,35 a 49,Femenino,Si,0.09212175589514991,0.066097630219146275,0.1269988020725997
2013,Buenos Aires,50 a 64,Femenino,Si,0.15374760771585866,0.11523450857513927,0.2021908690747328
2013,Buenos Aires,65+,Femenino,Si,0.168132436111831,0.125745190600759,0.22119289844067638
2018,Buenos Aires,18 a 24,Masculino,Si,0.040960090258923894,0.014498532615584432,0.1103112427010315
2018,Buenos Aires,25 a 34,Masculino,Si,0.01892686710258462,0.008219404241894749,0.04297853860828077
2018,Buenos Aires,35 a 49,Masculino,Si,0.11978036614523181,0.08540218976918068,0.16549321481476528
2018,Buenos Aires,50 a 64,Masculino,Si,0.21728447496529923,0.16943221614519638,0.2741899651753801
2018,Buenos Aires,65+,Masculino,Si,0.21759870466830308,0.16648525503090428,0.2791491992301606
2018,Buenos Aires,18 a 24,Femenino,Si,0.07488791896241126,0.04189702324751194,0.13032319762147923
2018,Buenos Aires,25 a 34,Femenino,Si,0.09024179013646093,0.05761556841947021,0.13862565783907635
2018,Buenos Aires,35 a 49,Femenino,Si,0.15859109386043097,0.12515795383869993,0.19892440740367984
2018,Buenos Aires,50 a 64,Femenino,Si,0.1566203603119305,0.11886633676939115,0.20359499900493833
2018,Buenos Aires,65+,Femenino,Si,0.20747799698557792,0.16904327138517586,0.2520013079112682
2005,CABA,18 a 24,Masculino,Si,0.014768325883468051,0.0020742407275624736,0.09755420714832339
2005,CABA,25 a 34,Masculino,Si,0.037371244451529076,0.016972437596930276,0.08028462437157914
2005,CABA,35 a 49,Masculino,Si,0.054118894562431116,0.025498902529980886,0.11119654910838374
2005,CABA,50 a 64,Masculino,Si,0.16022094716165286,0.10058420636303352,0.24556269259363625
2005,CABA,65+,Masculino,Si,0.22124342379071676,0.14768165943610678,0.31778521341731353
2005,CABA,18 a 24,Femenino,Si,0.011049054422622858,0.0015477133199800835,0.07452503619656418
2005,CABA,25 a 34,Femenino,Si,0.044576752645126935,0.016823285985774896,0.11285956617104949
2005,CABA,35 a 49,Femenino,Si,0.031295013541665376,0.013939973710524597,0.06875032416662602
2005,CABA,50 a 64,Femenino,Si,0.0916324641528556,0.04420269789307567,0.1803516480698756
2005,CABA,65+,Femenino,Si,0.14539382115371255,0.1010744254800859,0.20472078238789082
2009,CABA,18 a 24,Masculino,Si,0.044108998235640934,0.01099885742038626,0.16069633842424555
2009,CABA,25 a 34,Masculino,Si,0.0030710274499112845,0.00042889970802203195,0.021636994015360685
2009,CABA,35 a 49,Masculino,Si,0.08044805349501857,0.03732381916447243,0.16486528937310949
2009,CABA,50 a 64,Masculino,Si,0.08963936395867562,0.04579941085813427,0.16805292617401896
