anio_enfr,prov_id,prov_nombre,grupo_edad_5,sexo,dm_total,dm_total_se,dm_total_cv,dm_prev,dm_prev_se,dm_prev_cv,dm_prev_cv_cat
2013,78,Santa Cruz,75-79,Mujer,297,180.53,0.61,0.14,0.08,0.6,Muy alta
2013,78,Santa Cruz,75-79,Varón,0,0,NA,0,0,NA,NA
2013,78,Santa Cruz,80+,Mujer,830,422.72,0.51,0.43,0.16,0.38,Muy alta
2013,78,Santa Cruz,80+,Varón,259,193.19,0.75,0.11,0.09,0.75,Muy alta
2013,82,Santa Fe,35-39,Mujer,4057,1777.97,0.44,0.05,0.02,0.43,Muy alta
2013,82,Santa Fe,35-39,Varón,0,0,NA,0,0,NA,NA
2013,82,Santa Fe,40-44,Mujer,9404,3016.06,0.32,0.1,0.03,0.31,Muy alta
2013,82,Santa Fe,40-44,Varón,9244,6813.45,0.74,0.11,0.08,0.67,Muy alta
2013,82,Santa Fe,45-49,Mujer,7315,3064.08,0.42,0.09,0.04,0.42,Muy alta
2013,82,Santa Fe,45-49,Varón,3522,1854.21,0.53,0.05,0.03,0.52,Muy alta
2013,82,Santa Fe,50-54,Mujer,8796,3193.97,0.36,0.12,0.04,0.36,Muy alta
2013,82,Santa Fe,50-54,Varón,4225,2009.9,0.48,0.08,0.04,0.47,Muy alta
2013,82,Santa Fe,55-59,Mujer,11950,3775.59,0.32,0.2,0.06,0.28,Alta
2013,82,Santa Fe,55-59,Varón,3028,2019.49,0.67,0.05,0.03,0.65,Muy alta
2013,82,Santa Fe,60-64,Mujer,15507,3980.89,0.26,0.2,0.05,0.24,Alta
2013,82,Santa Fe,60-64,Varón,12780,5691.52,0.45,0.18,0.07,0.39,Muy alta
2013,82,Santa Fe,65-69,Mujer,14894,4634.75,0.31,0.21,0.06,0.27,Alta
2013,82,Santa Fe,65-69,Varón,6613,2322.63,0.35,0.11,0.04,0.35,Muy alta
2013,82,Santa Fe,70-74,Mujer,13487,4008.39,0.3,0.28,0.07,0.24,Alta
2013,82,Santa Fe,70-74,Varón,3924,1998.33,0.51,0.15,0.07,0.46,Muy alta
2013,82,Santa Fe,75-79,Mujer,12634,3878,0.31,0.29,0.08,0.25,Alta
2013,82,Santa Fe,75-79,Varón,9390,3517.09,0.37,0.34,0.11,0.32,Muy alta
2013,82,Santa Fe,80+,Mujer,8233,2625.11,0.32,0.18,0.05,0.29,Alta
