anio_enfr,anio,prov_id,prov_nombre,grupo_edad_5,grupo_edad_10,sexo,proy_pob
2005,2005,14,Córdoba,60-64 años,60-69 años,Mujer,70968
2005,2005,14,Córdoba,60-64 años,60-69 años,Varón,61945
2005,2005,14,Córdoba,65-69 años,60-69 años,Mujer,62573
2005,2005,14,Córdoba,65-69 años,60-69 años,Varón,51060
2005,2005,14,Córdoba,70-74 años,70-79 años,Mujer,55610
2005,2005,14,Córdoba,70-74 años,70-79 años,Varón,41111
2005,2005,14,Córdoba,75-79 años,70-79 años,Mujer,45538
2005,2005,14,Córdoba,75-79 años,70-79 años,Varón,29231
2005,2005,14,Córdoba,80+ años,80+ años,Mujer,49847
2005,2005,14,Córdoba,80+ años,80+ años,Varón,23479
2005,2005,18,Corrientes,20-24 años,20-29 años,Mujer,43183
2005,2005,18,Corrientes,20-24 años,20-29 años,Varón,44927
2005,2005,18,Corrientes,25-29 años,20-29 años,Mujer,40202
2005,2005,18,Corrientes,25-29 años,20-29 años,Varón,39287
2005,2005,18,Corrientes,30-34 años,30-39 años,Mujer,31070
2005,2005,18,Corrientes,30-34 años,30-39 años,Varón,30249
2005,2005,18,Corrientes,35-39 años,30-39 años,Mujer,28084
2005,2005,18,Corrientes,35-39 años,30-39 años,Varón,27499
2005,2005,18,Corrientes,40-44 años,40-49 años,Mujer,27916
2005,2005,18,Corrientes,40-44 años,40-49 años,Varón,27388
2005,2005,18,Corrientes,45-49 años,40-49 años,Mujer,25475
2005,2005,18,Corrientes,45-49 años,40-49 años,Varón,24543
2005,2005,18,Corrientes,50-54 años,50-59 años,Mujer,22256
2005,2005,18,Corrientes,50-54 años,50-59 años,Varón,22698
2005,2005,18,Corrientes,55-59 años,50-59 años,Mujer,18138
2005,2005,18,Corrientes,55-59 años,50-59 años,Varón,18189
2005,2005,18,Corrientes,60-64 años,60-69 años,Mujer,15062
2005,2005,18,Corrientes,60-64 años,60-69 años,Varón,13892
2005,2005,18,Corrientes,65-69 años,60-69 años,Mujer,13321
2005,2005,18,Corrientes,65-69 años,60-69 años,Varón,10975
2005,2005,18,Corrientes,70-74 años,70-79 años,Mujer,10755
2005,2005,18,Corrientes,70-74 años,70-79 años,Varón,8316
2005,2005,18,Corrientes,75-79 años,70-79 años,Mujer,7879
2005,2005,18,Corrientes,75-79 años,70-79 años,Varón,5705
2005,2005,18,Corrientes,80+ años,80+ años,Mujer,8506
2005,2005,18,Corrientes,80+ años,80+ años,Varón,4844
2005,2005,22,Chaco,20-24 años,20-29 años,Mujer,46146
2005,2005,22,Chaco,20-24 años,20-29 años,Varón,47497
2005,2005,22,Chaco,25-29 años,20-29 años,Mujer,40518
2005,2005,22,Chaco,25-29 años,20-29 años,Varón,40749
2005,2005,22,Chaco,30-34 años,30-39 años,Mujer,32118
2005,2005,22,Chaco,30-34 años,30-39 años,Varón,31485
2005,2005,22,Chaco,35-39 años,30-39 años,Mujer,29047
2005,2005,22,Chaco,35-39 años,30-39 años,Varón,28608
2005,2005,22,Chaco,40-44 años,40-49 años,Mujer,28628
2005,2005,22,Chaco,40-44 años,40-49 años,Varón,28635
2005,2005,22,Chaco,45-49 años,40-49 años,Mujer,26290
2005,2005,22,Chaco,45-49 años,40-49 años,Varón,26117
2005,2005,22,Chaco,50-54 años,50-59 años,Mujer,22367
2005,2005,22,Chaco,50-54 años,50-59 años,Varón,23219
2005,2005,22,Chaco,55-59 años,50-59 años,Mujer,17253
2005,2005,22,Chaco,55-59 años,50-59 años,Varón,18045
2005,2005,22,Chaco,60-64 años,60-69 años,Mujer,14455
2005,2005,22,Chaco,60-64 años,60-69 años,Varón,13622
2005,2005,22,Chaco,65-69 años,60-69 años,Mujer,12946
2005,2005,22,Chaco,65-69 años,60-69 años,Varón,11035
2005,2005,22,Chaco,70-74 años,70-79 años,Mujer,10408
2005,2005,22,Chaco,70-74 años,70-79 años,Varón,8262
2005,2005,22,Chaco,75-79 años,70-79 años,Mujer,7340
2005,2005,22,Chaco,75-79 años,70-79 años,Varón,5415
2005,2005,22,Chaco,80+ años,80+ años,Mujer,5982
2005,2005,22,Chaco,80+ años,80+ años,Varón,3833
2005,2005,26,Chubut,20-24 años,20-29 años,Mujer,18783
2005,2005,26,Chubut,20-24 años,20-29 años,Varón,19683
2005,2005,26,Chubut,25-29 años,20-29 años,Mujer,17954
2005,2005,26,Chubut,25-29 años,20-29 años,Varón,18624
2005,2005,26,Chubut,30-34 años,30-39 años,Mujer,16121
2005,2005,26,Chubut,30-34 años,30-39 años,Varón,16395
2005,2005,26,Chubut,35-39 años,30-39 años,Mujer,14623
2005,2005,26,Chubut,35-39 años,30-39 años,Varón,14824
2005,2005,26,Chubut,40-44 años,40-49 años,Mujer,14022
2005,2005,26,Chubut,40-44 años,40-49 años,Varón,14372
2005,2005,26,Chubut,45-49 años,40-49 años,Mujer,12655
2005,2005,26,Chubut,45-49 años,40-49 años,Varón,12787
2005,2005,26,Chubut,50-54 años,50-59 años,Mujer,11251
2005,2005,26,Chubut,50-54 años,50-59 años,Varón,11213
2005,2005,26,Chubut,55-59 años,50-59 años,Mujer,8904
2005,2005,26,Chubut,55-59 años,50-59 años,Varón,8989
2005,2005,26,Chubut,60-64 años,60-69 años,Mujer,7170
2005,2005,26,Chubut,60-64 años,60-69 años,Varón,7055
2005,2005,26,Chubut,65-69 años,60-69 años,Mujer,5999
2005,2005,26,Chubut,65-69 años,60-69 años,Varón,5609
2005,2005,26,Chubut,70-74 años,70-79 años,Mujer,4670
2005,2005,26,Chubut,70-74 años,70-79 años,Varón,3854
2005,2005,26,Chubut,75-79 años,70-79 años,Mujer,3445
2005,2005,26,Chubut,75-79 años,70-79 años,Varón,2590
2005,2005,26,Chubut,80+ años,80+ años,Mujer,3315
2005,2005,26,Chubut,80+ años,80+ años,Varón,1902
2005,2005,30,Entre Ríos,20-24 años,20-29 años,Mujer,50012
2005,2005,30,Entre Ríos,20-24 años,20-29 años,Varón,51488
2005,2005,30,Entre Ríos,25-29 años,20-29 años,Mujer,46790
2005,2005,30,Entre Ríos,25-29 años,20-29 años,Varón,47989
2005,2005,30,Entre Ríos,30-34 años,30-39 años,Mujer,39963
2005,2005,30,Entre Ríos,30-34 años,30-39 años,Varón,40923
2005,2005,30,Entre Ríos,35-39 años,30-39 años,Mujer,36530
2005,2005,30,Entre Ríos,35-39 años,30-39 años,Varón,37014
2005,2005,30,Entre Ríos,40-44 años,40-49 años,Mujer,35832
2005,2005,30,Entre Ríos,40-44 años,40-49 años,Varón,36044
2005,2005,30,Entre Ríos,45-49 años,40-49 años,Mujer,34073
2005,2005,30,Entre Ríos,45-49 años,40-49 años,Varón,32134
2005,2005,30,Entre Ríos,50-54 años,50-59 años,Mujer,31525
2005,2005,30,Entre Ríos,50-54 años,50-59 años,Varón,30785
2005,2005,30,Entre Ríos,55-59 años,50-59 años,Mujer,27593
2005,2005,30,Entre Ríos,55-59 años,50-59 años,Varón,26436
2005,2005,30,Entre Ríos,60-64 años,60-69 años,Mujer,23859
2005,2005,30,Entre Ríos,60-64 años,60-69 años,Varón,22018
2005,2005,30,Entre Ríos,65-69 años,60-69 años,Mujer,21363
2005,2005,30,Entre Ríos,65-69 años,60-69 años,Varón,17577
2005,2005,30,Entre Ríos,70-74 años,70-79 años,Mujer,18708
2005,2005,30,Entre Ríos,70-74 años,70-79 años,Varón,13237
2005,2005,30,Entre Ríos,75-79 años,70-79 años,Mujer,15118
2005,2005,30,Entre Ríos,75-79 años,70-79 años,Varón,9118
2005,2005,30,Entre Ríos,80+ años,80+ años,Mujer,16969
2005,2005,30,Entre Ríos,80+ años,80+ años,Varón,7874
2005,2005,34,Formosa,20-24 años,20-29 años,Mujer,22376
2005,2005,34,Formosa,20-24 años,20-29 años,Varón,23192
2005,2005,34,Formosa,25-29 años,20-29 años,Mujer,19041
2005,2005,34,Formosa,25-29 años,20-29 años,Varón,18988
2005,2005,34,Formosa,30-34 años,30-39 años,Mujer,16061
2005,2005,34,Formosa,30-34 años,30-39 años,Varón,15281
2005,2005,34,Formosa,35-39 años,30-39 años,Mujer,14912
2005,2005,34,Formosa,35-39 años,30-39 años,Varón,14597
2005,2005,34,Formosa,40-44 años,40-49 años,Mujer,14354
2005,2005,34,Formosa,40-44 años,40-49 años,Varón,14738
2005,2005,34,Formosa,45-49 años,40-49 años,Mujer,12859
2005,2005,34,Formosa,45-49 años,40-49 años,Varón,12870
2005,2005,34,Formosa,50-54 años,50-59 años,Mujer,10889
2005,2005,34,Formosa,50-54 años,50-59 años,Varón,11411
2005,2005,34,Formosa,55-59 años,50-59 años,Mujer,8406
2005,2005,34,Formosa,55-59 años,50-59 años,Varón,8861
2005,2005,34,Formosa,60-64 años,60-69 años,Mujer,6590
2005,2005,34,Formosa,60-64 años,60-69 años,Varón,6824
2005,2005,34,Formosa,65-69 años,60-69 años,Mujer,5710
2005,2005,34,Formosa,65-69 años,60-69 años,Varón,5646
2005,2005,34,Formosa,70-74 años,70-79 años,Mujer,4357
2005,2005,34,Formosa,70-74 años,70-79 años,Varón,4017
2005,2005,34,Formosa,75-79 años,70-79 años,Mujer,3068
2005,2005,34,Formosa,75-79 años,70-79 años,Varón,2761
2005,2005,34,Formosa,80+ años,80+ años,Mujer,2635
2005,2005,34,Formosa,80+ años,80+ años,Varón,2076
2005,2005,38,Jujuy,20-24 años,20-29 años,Mujer,30045
