anio,prov_id,prov_nombre,grupo_edad_10,sexo,proy_pob,pob_est_2010
2005,2,CABA,30-39,Mujer,224243,2948351
2005,2,CABA,30-39,Varón,213307,2875168
2005,2,CABA,40-49,Mujer,194853,2333346
2005,2,CABA,40-49,Varón,176243,2226600
2005,2,CABA,50-59,Mujer,187843,2043266
2005,2,CABA,50-59,Varón,153967,1896227
2005,2,CABA,60-69,Mujer,169062,1572788
2005,2,CABA,60-69,Varón,118792,1360347
2005,2,CABA,70-79,Mujer,147823,1067525
2005,2,CABA,70-79,Varón,86161,769536
2005,2,CABA,80+,Mujer,100219,671649
2005,2,CABA,80+,Varón,39349,329851
2005,6,Buenos Aires,30-39,Mujer,1010635,2948351
2005,6,Buenos Aires,30-39,Varón,1017305,2875168
2005,6,Buenos Aires,40-49,Mujer,873313,2333346
2005,6,Buenos Aires,40-49,Varón,826228,2226600
2005,6,Buenos Aires,50-59,Mujer,771036,2043266
2005,6,Buenos Aires,50-59,Varón,694872,1896227
2005,6,Buenos Aires,60-69,Mujer,577304,1572788
2005,6,Buenos Aires,60-69,Varón,493284,1360347
2005,6,Buenos Aires,70-79,Mujer,447520,1067525
2005,6,Buenos Aires,70-79,Varón,306565,769536
2005,6,Buenos Aires,80+,Mujer,211345,671649
2005,6,Buenos Aires,80+,Varón,103959,329851
2005,10,Catamarca,30-39,Mujer,23062,2948351
2005,10,Catamarca,30-39,Varón,23915,2875168
2005,10,Catamarca,40-49,Mujer,18606,2333346
2005,10,Catamarca,40-49,Varón,19310,2226600
2005,10,Catamarca,50-59,Mujer,14919,2043266
2005,10,Catamarca,50-59,Varón,15124,1896227
2005,10,Catamarca,60-69,Mujer,10039,1572788
2005,10,Catamarca,60-69,Varón,8974,1360347
2005,10,Catamarca,70-79,Mujer,7177,1067525
2005,10,Catamarca,70-79,Varón,5396,769536
2005,10,Catamarca,80+,Mujer,3101,671649
2005,10,Catamarca,80+,Varón,1816,329851
2005,14,Córdoba,30-39,Mujer,210583,2948351
2005,14,Córdoba,30-39,Varón,213479,2875168
2005,14,Córdoba,40-49,Mujer,189098,2333346
2005,14,Córdoba,40-49,Varón,180777,2226600
2005,14,Córdoba,50-59,Mujer,170102,2043266
2005,14,Córdoba,50-59,Varón,155691,1896227
2005,14,Córdoba,60-69,Mujer,133541,1572788
2005,14,Córdoba,60-69,Varón,113005,1360347
2005,14,Córdoba,70-79,Mujer,101148,1067525
2005,14,Córdoba,70-79,Varón,70342,769536
2005,14,Córdoba,80+,Mujer,49847,671649
2005,14,Córdoba,80+,Varón,23479,329851
2005,18,Corrientes,30-39,Mujer,59154,2948351
2005,18,Corrientes,30-39,Varón,57748,2875168
2005,18,Corrientes,40-49,Mujer,53391,2333346
2005,18,Corrientes,40-49,Varón,51931,2226600
2005,18,Corrientes,50-59,Mujer,40394,2043266
2005,18,Corrientes,50-59,Varón,40887,1896227
2005,18,Corrientes,60-69,Mujer,28383,1572788
2005,18,Corrientes,60-69,Varón,24867,1360347
2005,18,Corrientes,70-79,Mujer,18634,1067525
2005,18,Corrientes,70-79,Varón,14021,769536
2005,18,Corrientes,80+,Mujer,8506,671649
