anio,prov_res,prov_res_cat,sexo,grupo_edad,defun_dm
2005,14,Córdoba,Femenino,60 a 64,44
2005,14,Córdoba,Femenino,65 a 69,56
2005,14,Córdoba,Femenino,70 a 74,77
2005,14,Córdoba,Femenino,75 a 79,110
2005,14,Córdoba,Femenino,80 y más,224
2005,18,Corrientes,Masculino,10 a 14,0
2005,18,Corrientes,Masculino,15 a 19,0
2005,18,Corrientes,Masculino,20 a 24,0
2005,18,Corrientes,Masculino,25 a 29,1
2005,18,Corrientes,Masculino,30 a 34,0
2005,18,Corrientes,Masculino,35 a 39,0
2005,18,Corrientes,Masculino,40 a 44,1
2005,18,Corrientes,Masculino,45 a 49,4
2005,18,Corrientes,Masculino,50 a 54,2
2005,18,Corrientes,Masculino,55 a 59,13
2005,18,Corrientes,Masculino,60 a 64,9
2005,18,Corrientes,Masculino,65 a 69,16
2005,18,Corrientes,Masculino,70 a 74,18
2005,18,Corrientes,Masculino,75 a 79,16
2005,18,Corrientes,Masculino,80 y más,12
2005,18,Corrientes,Femenino,10 a 14,0
2005,18,Corrientes,Femenino,15 a 19,0
2005,18,Corrientes,Femenino,20 a 24,1
2005,18,Corrientes,Femenino,25 a 29,0
2005,18,Corrientes,Femenino,30 a 34,0
2005,18,Corrientes,Femenino,35 a 39,2
2005,18,Corrientes,Femenino,40 a 44,0
2005,18,Corrientes,Femenino,45 a 49,2
2005,18,Corrientes,Femenino,50 a 54,5
2005,18,Corrientes,Femenino,55 a 59,4
2005,18,Corrientes,Femenino,60 a 64,12
2005,18,Corrientes,Femenino,65 a 69,12
2005,18,Corrientes,Femenino,70 a 74,14
2005,18,Corrientes,Femenino,75 a 79,22
2005,18,Corrientes,Femenino,80 y más,19
2005,22,Chaco,Masculino,10 a 14,0
2005,22,Chaco,Masculino,15 a 19,0
2005,22,Chaco,Masculino,20 a 24,0
2005,22,Chaco,Masculino,25 a 29,0
2005,22,Chaco,Masculino,30 a 34,1
2005,22,Chaco,Masculino,35 a 39,0
2005,22,Chaco,Masculino,40 a 44,2
2005,22,Chaco,Masculino,45 a 49,1
2005,22,Chaco,Masculino,50 a 54,6
2005,22,Chaco,Masculino,55 a 59,15
2005,22,Chaco,Masculino,60 a 64,10
2005,22,Chaco,Masculino,65 a 69,15
2005,22,Chaco,Masculino,70 a 74,10
2005,22,Chaco,Masculino,75 a 79,19
2005,22,Chaco,Masculino,80 y más,15
2005,22,Chaco,Femenino,10 a 14,0
2005,22,Chaco,Femenino,15 a 19,0
2005,22,Chaco,Femenino,20 a 24,1
2005,22,Chaco,Femenino,25 a 29,0
2005,22,Chaco,Femenino,30 a 34,1
2005,22,Chaco,Femenino,35 a 39,1
2005,22,Chaco,Femenino,40 a 44,3
2005,22,Chaco,Femenino,45 a 49,0
2005,22,Chaco,Femenino,50 a 54,6
2005,22,Chaco,Femenino,55 a 59,3
2005,22,Chaco,Femenino,60 a 64,10
2005,22,Chaco,Femenino,65 a 69,11
2005,22,Chaco,Femenino,70 a 74,27
2005,22,Chaco,Femenino,75 a 79,15
2005,22,Chaco,Femenino,80 y más,30
2005,26,Chubut,Masculino,10 a 14,0
2005,26,Chubut,Masculino,15 a 19,0
2005,26,Chubut,Masculino,20 a 24,0
2005,26,Chubut,Masculino,25 a 29,0
2005,26,Chubut,Masculino,30 a 34,1
2005,26,Chubut,Masculino,35 a 39,0
2005,26,Chubut,Masculino,40 a 44,1
2005,26,Chubut,Masculino,45 a 49,1
2005,26,Chubut,Masculino,50 a 54,1
2005,26,Chubut,Masculino,55 a 59,3
2005,26,Chubut,Masculino,60 a 64,6
2005,26,Chubut,Masculino,65 a 69,8
2005,26,Chubut,Masculino,70 a 74,6
2005,26,Chubut,Masculino,75 a 79,4
2005,26,Chubut,Masculino,80 y más,3
2005,26,Chubut,Femenino,10 a 14,0
2005,26,Chubut,Femenino,15 a 19,0
2005,26,Chubut,Femenino,20 a 24,0
2005,26,Chubut,Femenino,25 a 29,1
2005,26,Chubut,Femenino,30 a 34,0
2005,26,Chubut,Femenino,35 a 39,1
2005,26,Chubut,Femenino,40 a 44,0
2005,26,Chubut,Femenino,45 a 49,0
2005,26,Chubut,Femenino,50 a 54,1
2005,26,Chubut,Femenino,55 a 59,2
2005,26,Chubut,Femenino,60 a 64,1
2005,26,Chubut,Femenino,65 a 69,3
2005,26,Chubut,Femenino,70 a 74,6
2005,26,Chubut,Femenino,75 a 79,7
2005,26,Chubut,Femenino,80 y más,9
2005,30,Entre Ríos,Masculino,10 a 14,0
2005,30,Entre Ríos,Masculino,15 a 19,1
2005,30,Entre Ríos,Masculino,20 a 24,1
2005,30,Entre Ríos,Masculino,25 a 29,0
2005,30,Entre Ríos,Masculino,30 a 34,0
2005,30,Entre Ríos,Masculino,35 a 39,0
2005,30,Entre Ríos,Masculino,40 a 44,1
2005,30,Entre Ríos,Masculino,45 a 49,1
2005,30,Entre Ríos,Masculino,50 a 54,5
2005,30,Entre Ríos,Masculino,55 a 59,13
2005,30,Entre Ríos,Masculino,60 a 64,20
2005,30,Entre Ríos,Masculino,65 a 69,18
2005,30,Entre Ríos,Masculino,70 a 74,24
2005,30,Entre Ríos,Masculino,75 a 79,30
2005,30,Entre Ríos,Masculino,80 y más,29
2005,30,Entre Ríos,Femenino,10 a 14,0
2005,30,Entre Ríos,Femenino,15 a 19,0
2005,30,Entre Ríos,Femenino,20 a 24,0
2005,30,Entre Ríos,Femenino,25 a 29,0
2005,30,Entre Ríos,Femenino,30 a 34,1
2005,30,Entre Ríos,Femenino,35 a 39,1
2005,30,Entre Ríos,Femenino,40 a 44,3
2005,30,Entre Ríos,Femenino,45 a 49,1
2005,30,Entre Ríos,Femenino,50 a 54,3
2005,30,Entre Ríos,Femenino,55 a 59,9
2005,30,Entre Ríos,Femenino,60 a 64,19
2005,30,Entre Ríos,Femenino,65 a 69,20
2005,30,Entre Ríos,Femenino,70 a 74,27
2005,30,Entre Ríos,Femenino,75 a 79,36
