anio_enfr,prov_id,prov_nombre,grupo_edad_10,sexo,defun_n,defun_mean,lx,Tx,ex,AVP
2018,18,Corrientes,50 a 59,Varón,61,10.17,91004.18,2267126.11,24.88,252.94
2018,18,Corrientes,60 a 69,Mujer,103,17.17,89138.12,1881505.15,21.06,361.56
2018,18,Corrientes,60 a 69,Varón,152,25.33,81649.99,1398833.14,17.06,432.12
2018,18,Corrientes,70 a 79,Mujer,143,23.83,77039.5,1045016.18,13.47,320.97
2018,18,Corrientes,70 a 79,Varón,148,24.67,62091.13,672544.48,10.69,263.62
2018,18,Corrientes,80+,Mujer,155,51.67,61218.22,517455,8.45,436.72
2018,18,Corrientes,80+,Varón,68,22.67,40745.57,276362.57,6.78,153.74
2018,22,Chaco,20 a 29,Mujer,2,0.33,98676.96,5721835.44,57.98,19.33
2018,22,Chaco,20 a 29,Varón,3,0.5,97988.53,5129326.1,52.34,26.17
2018,22,Chaco,30 a 39,Mujer,14,2.33,98073.65,4737959.6,48.31,112.71
2018,22,Chaco,30 a 39,Varón,13,2.17,96648.18,4156118.88,42.99,93.15
2018,22,Chaco,40 a 49,Mujer,17,2.83,96966.42,3762283.1,38.79,109.91
2018,22,Chaco,40 a 49,Varón,26,4.33,94807.19,3198267.55,33.72,146.12
2018,22,Chaco,50 a 59,Mujer,71,11.83,94611.04,2803255.32,29.61,350.38
2018,22,Chaco,50 a 59,Varón,83,13.83,91004.18,2267126.11,24.88,344.17
2018,22,Chaco,60 a 69,Mujer,98,16.33,89138.12,1881505.15,21.06,344.01
2018,22,Chaco,60 a 69,Varón,160,26.67,81649.99,1398833.14,17.06,454.86
2018,22,Chaco,70 a 79,Mujer,109,18.17,77039.5,1045016.18,13.47,244.66
2018,22,Chaco,70 a 79,Varón,130,21.67,62091.13,672544.48,10.69,231.56
2018,22,Chaco,80+,Mujer,98,32.67,61218.22,517455,8.45,276.12
2018,22,Chaco,80+,Varón,64,21.33,40745.57,276362.57,6.78,144.7
2018,26,Chubut,20 a 29,Mujer,0,0,98676.96,5721835.44,57.98,0
2018,26,Chubut,20 a 29,Varón,2,0.33,97988.53,5129326.1,52.34,17.45
2018,26,Chubut,30 a 39,Mujer,0,0,98073.65,4737959.6,48.31,0
2018,26,Chubut,30 a 39,Varón,3,0.5,96648.18,4156118.88,42.99,21.5
2018,26,Chubut,40 a 49,Mujer,6,1,96966.42,3762283.1,38.79,38.79
