anio,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2018,Patagonia Norte,Varón,40 a 49,109055,NA,2226600
2018,Patagonia Norte,Varón,50 a 59,83955,NA,1896227
2018,Patagonia Norte,Varón,60 a 69,62923,NA,1360347
2018,Patagonia Norte,Varón,70 a 79,34852,NA,769536
2018,Patagonia Norte,Varón,80+,13941,NA,329851
2018,Patagonia Sur,Mujer,30 a 39,89428,NA,2948351
2018,Patagonia Sur,Mujer,40 a 49,71534,NA,2333346
2018,Patagonia Sur,Mujer,50 a 59,51431,NA,2043266
2018,Patagonia Sur,Mujer,60 a 69,35812,NA,1572788
2018,Patagonia Sur,Mujer,70 a 79,19694,NA,1067525
2018,Patagonia Sur,Mujer,80+,10435,NA,671649
2018,Patagonia Sur,Varón,30 a 39,94738,NA,2875168
2018,Patagonia Sur,Varón,40 a 49,74435,NA,2226600
2018,Patagonia Sur,Varón,50 a 59,52403,NA,1896227
2018,Patagonia Sur,Varón,60 a 69,34846,NA,1360347
2018,Patagonia Sur,Varón,70 a 79,15947,NA,769536
2018,Patagonia Sur,Varón,80+,5888,NA,329851
