anio,codprov_censo,prov_nombre,region_deis,sexo,grupo_edad10,pob_proy,proy_pob,pob_est_2010
2001,30,Entre Ríos,Centro,Mujer,70 a 79,31294,NA,1067525
2001,30,Entre Ríos,Centro,Mujer,80+,14524,NA,671649
2001,30,Entre Ríos,Centro,Varón,30 a 39,73990,NA,2875168
2001,30,Entre Ríos,Centro,Varón,40 a 49,64778,NA,2226600
2001,30,Entre Ríos,Centro,Varón,50 a 59,52651,NA,1896227
2001,30,Entre Ríos,Centro,Varón,60 a 69,36607,NA,1360347
2001,30,Entre Ríos,Centro,Varón,70 a 79,20850,NA,769536
2001,30,Entre Ríos,Centro,Varón,80+,7155,NA,329851
2001,34,Formosa,NEA,Mujer,30 a 39,29688,NA,2948351
2001,34,Formosa,NEA,Mujer,40 a 49,24951,NA,2333346
2001,34,Formosa,NEA,Mujer,50 a 59,16296,NA,2043266
2001,34,Formosa,NEA,Mujer,60 a 69,11300,NA,1572788
2001,34,Formosa,NEA,Mujer,70 a 79,6582,NA,1067525
2001,34,Formosa,NEA,Mujer,80+,2435,NA,671649
2001,34,Formosa,NEA,Varón,30 a 39,29457,NA,2875168
2001,34,Formosa,NEA,Varón,40 a 49,25279,NA,2226600
2001,34,Formosa,NEA,Varón,50 a 59,17230,NA,1896227
2001,34,Formosa,NEA,Varón,60 a 69,11349,NA,1360347
2001,34,Formosa,NEA,Varón,70 a 79,6163,NA,769536
2001,34,Formosa,NEA,Varón,80+,2017,NA,329851
2001,38,Jujuy,NOA1,Mujer,30 a 39,38060,NA,2948351
2001,38,Jujuy,NOA1,Mujer,40 a 49,32424,NA,2333346
2001,38,Jujuy,NOA1,Mujer,50 a 59,23290,NA,2043266
2001,38,Jujuy,NOA1,Mujer,60 a 69,16021,NA,1572788
2001,38,Jujuy,NOA1,Mujer,70 a 79,9223,NA,1067525
2001,38,Jujuy,NOA1,Mujer,80+,3398,NA,671649
2001,38,Jujuy,NOA1,Varón,30 a 39,36788,NA,2875168
2001,38,Jujuy,NOA1,Varón,40 a 49,29884,NA,2226600
2001,38,Jujuy,NOA1,Varón,50 a 59,22141,NA,1896227
2001,38,Jujuy,NOA1,Varón,60 a 69,14986,NA,1360347
2001,38,Jujuy,NOA1,Varón,70 a 79,7993,NA,769536
2001,38,Jujuy,NOA1,Varón,80+,2180,NA,329851
2001,42,La Pampa,Patagonia Norte,Mujer,30 a 39,19829,NA,2948351
2001,42,La Pampa,Patagonia Norte,Mujer,40 a 49,17590,NA,2333346
2001,42,La Pampa,Patagonia Norte,Mujer,50 a 59,14551,NA,2043266
2001,42,La Pampa,Patagonia Norte,Mujer,60 a 69,11115,NA,1572788
2001,42,La Pampa,Patagonia Norte,Mujer,70 a 79,7933,NA,1067525
2001,42,La Pampa,Patagonia Norte,Mujer,80+,3759,NA,671649
2001,42,La Pampa,Patagonia Norte,Varón,30 a 39,20234,NA,2875168
2001,42,La Pampa,Patagonia Norte,Varón,40 a 49,18206,NA,2226600
2001,42,La Pampa,Patagonia Norte,Varón,50 a 59,15058,NA,1896227
2001,42,La Pampa,Patagonia Norte,Varón,60 a 69,10807,NA,1360347
2001,42,La Pampa,Patagonia Norte,Varón,70 a 79,6144,NA,769536
2001,42,La Pampa,Patagonia Norte,Varón,80+,2157,NA,329851
2001,46,La Rioja,Cuyo,Mujer,30 a 39,18605,NA,2948351
2001,46,La Rioja,Cuyo,Mujer,40 a 49,15336,NA,2333346
2001,46,La Rioja,Cuyo,Mujer,50 a 59,10776,NA,2043266
2001,46,La Rioja,Cuyo,Mujer,60 a 69,7680,NA,1572788
2001,46,La Rioja,Cuyo,Mujer,70 a 79,4929,NA,1067525
2001,46,La Rioja,Cuyo,Mujer,80+,2075,NA,671649
2001,46,La Rioja,Cuyo,Varón,30 a 39,19207,NA,2875168
2001,46,La Rioja,Cuyo,Varón,40 a 49,15773,NA,2226600
2001,46,La Rioja,Cuyo,Varón,50 a 59,11131,NA,1896227
2001,46,La Rioja,Cuyo,Varón,60 a 69,6957,NA,1360347
