anio_enfr,sexo,AVAD_est_sum,AVP_est_sum,AVD_est_sum,pob_nac_2010,AVAD_tasa_aj,AVP_tasa_aj,AVD_tasa_aj
2005,Mujeres,5235188.379691254,2405782.7835884816,2829405.5961027723,10636925,49217.12,22617.28,26599.85
2009,Mujeres,5645488.580962268,2123260.5308946897,3522228.0500675784,10636925,53074.44,19961.22,33113.22
2013,Mujeres,5281342.938631992,1983191.300951718,3298151.6376802735,10636925,49651.03,18644.4,31006.63
2018,Mujeres,5886539.257195936,1951055.1776110856,3935484.0795848505,10636925,55340.61,18342.29,36998.32
2005,Varones,4952572.862330608,1956015.5939609974,2996557.2683696104,9457729,52365.35,20681.66,31683.69
2009,Varones,5597275.671635561,1852320.0952153306,3744955.5764202303,9457729,59182.03,19585.25,39596.77
2013,Varones,5112121.463183671,1760470.1226752277,3351651.340508444,9457729,54052.31,18614.09,35438.23
2018,Varones,6423016.235606368,1921399.9441789552,4501616.291427413,9457729,67912.88,20315.66,47597.22
