02;1;N17;NULL;08_35 a 39;2
02;1;J13;NULL;15_70 a 74;1
02;2;K59;NULL;17_80 y más;2
02;1;C25;NULL;08_35 a 39;1
02;1;I47;NULL;15_70 a 74;32
02;2;I13;NULL;15_70 a 74;1
02;2;Y24;NULL;13_60 a 64;1
02;1;K57;NULL;12_55 a 59;1
02;2;I50;NULL;10_45 a 49;5
02;1;N19;NULL;17_80 y más;22
02;2;I72;NULL;11_50 a 54;1
02;1;B44;NULL;17_80 y más;1
02;1;K81;NULL;13_60 a 64;1
02;2;Y17;NULL;06_25 a 29;1
02;1;I62;NULL;13_60 a 64;2
02;2;Y14;NULL;05_20 a 24;1
02;2;C45;NULL;15_70 a 74;3
02;2;N39;NULL;17_80 y más;331
02;2;D43;NULL;17_80 y más;13
02;1;C11;NULL;17_80 y más;1
02;2;W78;NULL;17_80 y más;1
02;1;C93;NULL;02_1 a 9;1
02;2;I73;NULL;14_65 a 69;1
02;2;C91;NULL;13_60 a 64;1
02;1;A41;NULL;06_25 a 29;2
02;1;C73;NULL;13_60 a 64;2
02;2;C44;NULL;17_80 y más;14
02;1;X70;NULL;09_40 a 44;2
02;1;I71;NULL;16_75 a 79;15
02;2;P25;NULL;01_Menor de 1 año;1
02;1;C43;NULL;16_75 a 79;8
02;1;C20;NULL;15_70 a 74;8
02;1;C34;NULL;13_60 a 64;60
02;1;C60;NULL;13_60 a 64;1
02;1;I49;NULL;17_80 y más;60
02;1;C18;NULL;13_60 a 64;19
02;1;K46;NULL;17_80 y más;1
02;1;J84;NULL;16_75 a 79;10
02;2;M06;NULL;16_75 a 79;1
02;1;D03;NULL;17_80 y más;1
02;2;A16;NULL;14_65 a 69;1
02;1;D64;NULL;16_75 a 79;1
02;1;C88;NULL;13_60 a 64;1
02;2;C20;NULL;17_80 y más;8
02;2;K86;NULL;15_70 a 74;1
02;1;W79;NULL;12_55 a 59;1
02;2;C22;NULL;09_40 a 44;1
02;1;J15;NULL;10_45 a 49;2
02;9;C34;NULL;13_60 a 64;1
02;2;I72;NULL;15_70 a 74;1
02;2;J96;NULL;06_25 a 29;1
02;1;C25;NULL;10_45 a 49;7
02;1;I05;NULL;15_70 a 74;1
02;1;M45;NULL;08_35 a 39;1
02;2;C85;NULL;16_75 a 79;9
02;2;R99;NULL;12_55 a 59;4
02;2;C45;NULL;14_65 a 69;2
02;1;J44;NULL;12_55 a 59;1
02;2;G04;NULL;05_20 a 24;1
02;1;C23;NULL;15_70 a 74;4
02;1;J45;NULL;17_80 y más;1
02;1;C02;NULL;15_70 a 74;2
02;1;I21;NULL;15_70 a 74;163
02;1;J45;NULL;15_70 a 74;1
02;2;C06;NULL;16_75 a 79;2
02;1;B20;NULL;05_20 a 24;2
02;2;I50;NULL;17_80 y más;1808
02;2;C32;NULL;14_65 a 69;2
02;1;C25;NULL;16_75 a 79;34
02;2;Y34;NULL;14_65 a 69;2
02;1;C32;NULL;17_80 y más;7
02;1;K25;NULL;16_75 a 79;2
02;1;A16;NULL;11_50 a 54;1
02;1;D41;NULL;15_70 a 74;2
02;2;C76;NULL;14_65 a 69;1
02;1;W79;NULL;10_45 a 49;1
02;1;I25;NULL;08_35 a 39;1
02;2;I73;NULL;15_70 a 74;2
02;1;Y24;NULL;05_20 a 24;4
02;1;K72;NULL;10_45 a 49;2
02;2;I67;NULL;07_30 a 34;1
02;1;C17;NULL;15_70 a 74;2
02;1;I05;NULL;11_50 a 54;1
02;2;F01;NULL;17_80 y más;9
02;1;I63;NULL;16_75 a 79;10
02;2;X59;NULL;04_15 a 19;2
02;1;M31;NULL;13_60 a 64;1
02;2;B23;NULL;06_25 a 29;1
02;1;I31;NULL;13_60 a 64;1
02;1;K63;NULL;17_80 y más;4
02;1;C38;NULL;06_25 a 29;1
