"Jurisdicción","Sexo","Grupo de edad","Causa de muerte (CIE-10)","Total"
"Buenos Aires","Varón","01.0 a 6 días","A50",1
"Buenos Aires","Varón","01.0 a 6 días","D48",1
"Buenos Aires","Varón","01.0 a 6 días","G71",1
"Buenos Aires","Varón","01.0 a 6 días","I27",3
"Buenos Aires","Varón","01.0 a 6 días","J18",1
"Buenos Aires","Varón","01.0 a 6 días","P01",2
"Buenos Aires","Varón","01.0 a 6 días","P02",2
"Buenos Aires","Varón","01.0 a 6 días","P05",1
"Buenos Aires","Varón","01.0 a 6 días","P07",176
"Buenos Aires","Varón","01.0 a 6 días","P20",6
"Buenos Aires","Varón","01.0 a 6 días","P21",31
"Buenos Aires","Varón","01.0 a 6 días","P22",170
"Buenos Aires","Varón","01.0 a 6 días","P23",12
"Buenos Aires","Varón","01.0 a 6 días","P24",13
"Buenos Aires","Varón","01.0 a 6 días","P25",6
"Buenos Aires","Varón","01.0 a 6 días","P26",14
"Buenos Aires","Varón","01.0 a 6 días","P28",23
"Buenos Aires","Varón","01.0 a 6 días","P29",26
"Buenos Aires","Varón","01.0 a 6 días","P36",118
"Buenos Aires","Varón","01.0 a 6 días","P52",17
"Buenos Aires","Varón","01.0 a 6 días","P54",1
"Buenos Aires","Varón","01.0 a 6 días","P55",2
"Buenos Aires","Varón","01.0 a 6 días","P60",1
"Buenos Aires","Varón","01.0 a 6 días","P61",1
"Buenos Aires","Varón","01.0 a 6 días","P70",1
"Buenos Aires","Varón","01.0 a 6 días","P77",10
"Buenos Aires","Varón","01.0 a 6 días","P78",1
"Buenos Aires","Varón","01.0 a 6 días","P83",14
"Buenos Aires","Varón","01.0 a 6 días","P96",11
"Buenos Aires","Varón","01.0 a 6 días","Q00",32
"Buenos Aires","Varón","01.0 a 6 días","Q01",2
"Buenos Aires","Varón","01.0 a 6 días","Q03",5
"Buenos Aires","Varón","01.0 a 6 días","Q04",1
"Buenos Aires","Varón","01.0 a 6 días","Q05",1
"Buenos Aires","Varón","01.0 a 6 días","Q07",1
"Buenos Aires","Varón","01.0 a 6 días","Q20",2
"Buenos Aires","Varón","01.0 a 6 días","Q21",1
"Buenos Aires","Varón","01.0 a 6 días","Q22",2
"Buenos Aires","Varón","01.0 a 6 días","Q23",3
"Buenos Aires","Varón","01.0 a 6 días","Q24",39
"Buenos Aires","Varón","01.0 a 6 días","Q25",3
"Buenos Aires","Varón","01.0 a 6 días","Q33",5
"Buenos Aires","Varón","01.0 a 6 días","Q39",2
"Buenos Aires","Varón","01.0 a 6 días","Q41",1
"Buenos Aires","Varón","01.0 a 6 días","Q60",7
"Buenos Aires","Varón","01.0 a 6 días","Q61",3
"Buenos Aires","Varón","01.0 a 6 días","Q64",1
"Buenos Aires","Varón","01.0 a 6 días","Q68",1
"Buenos Aires","Varón","01.0 a 6 días","Q75",1
"Buenos Aires","Varón","01.0 a 6 días","Q76",1
"Buenos Aires","Varón","01.0 a 6 días","Q77",6
"Buenos Aires","Varón","01.0 a 6 días","Q78",1
"Buenos Aires","Varón","01.0 a 6 días","Q79",33
"Buenos Aires","Varón","01.0 a 6 días","Q89",88
"Buenos Aires","Varón","01.0 a 6 días","Q90",2
"Buenos Aires","Varón","01.0 a 6 días","Q91",4
"Buenos Aires","Varón","01.0 a 6 días","R68",1
"Buenos Aires","Varón","01.0 a 6 días","R95",1
"Buenos Aires","Varón","01.0 a 6 días","Y06",1
"Buenos Aires","Varón","01.0 a 6 días","Y09",1
"Buenos Aires","Varón","01.0 a 6 días","Y34",1
"Buenos Aires","Varón","02.7 a 27 días","A05",2
"Buenos Aires","Varón","02.7 a 27 días","A09",2
"Buenos Aires","Varón","02.7 a 27 días","A50",2
"Buenos Aires","Varón","02.7 a 27 días","E84",1
"Buenos Aires","Varón","02.7 a 27 días","G03",1
"Buenos Aires","Varón","02.7 a 27 días","I27",3
"Buenos Aires","Varón","02.7 a 27 días","J18",1
"Buenos Aires","Varón","02.7 a 27 días","J93",1
"Buenos Aires","Varón","02.7 a 27 días","J98",1
"Buenos Aires","Varón","02.7 a 27 días","M72",1
"Buenos Aires","Varón","02.7 a 27 días","P07",43
"Buenos Aires","Varón","02.7 a 27 días","P21",5
"Buenos Aires","Varón","02.7 a 27 días","P22",22
"Buenos Aires","Varón","02.7 a 27 días","P23",6
"Buenos Aires","Varón","02.7 a 27 días","P24",12
"Buenos Aires","Varón","02.7 a 27 días","P25",1
"Buenos Aires","Varón","02.7 a 27 días","P26",3
"Buenos Aires","Varón","02.7 a 27 días","P27",4
"Buenos Aires","Varón","02.7 a 27 días","P28",6
"Buenos Aires","Varón","02.7 a 27 días","P29",16
"Buenos Aires","Varón","02.7 a 27 días","P35",1
"Buenos Aires","Varón","02.7 a 27 días","P36",67
"Buenos Aires","Varón","02.7 a 27 días","P52",19
"Buenos Aires","Varón","02.7 a 27 días","P60",1
"Buenos Aires","Varón","02.7 a 27 días","P70",1
"Buenos Aires","Varón","02.7 a 27 días","P74",1
"Buenos Aires","Varón","02.7 a 27 días","P77",15
"Buenos Aires","Varón","02.7 a 27 días","P78",1
"Buenos Aires","Varón","02.7 a 27 días","P83",2
"Buenos Aires","Varón","02.7 a 27 días","P90",1
"Buenos Aires","Varón","02.7 a 27 días","P91",1
"Buenos Aires","Varón","02.7 a 27 días","P96",13
"Buenos Aires","Varón","02.7 a 27 días","Q00",1
"Buenos Aires","Varón","02.7 a 27 días","Q01",1
"Buenos Aires","Varón","02.7 a 27 días","Q03",2
"Buenos Aires","Varón","02.7 a 27 días","Q04",1
"Buenos Aires","Varón","02.7 a 27 días","Q05",3
"Buenos Aires","Varón","02.7 a 27 días","Q07",1
"Buenos Aires","Varón","02.7 a 27 días","Q20",2
"Buenos Aires","Varón","02.7 a 27 días","Q21",1
"Buenos Aires","Varón","02.7 a 27 días","Q22",1
"Buenos Aires","Varón","02.7 a 27 días","Q23",1
"Buenos Aires","Varón","02.7 a 27 días","Q24",27
"Buenos Aires","Varón","02.7 a 27 días","Q25",5
"Buenos Aires","Varón","02.7 a 27 días","Q39",2
"Buenos Aires","Varón","02.7 a 27 días","Q43",2
"Buenos Aires","Varón","02.7 a 27 días","Q44",1
"Buenos Aires","Varón","02.7 a 27 días","Q45",1
"Buenos Aires","Varón","02.7 a 27 días","Q60",1
"Buenos Aires","Varón","02.7 a 27 días","Q78",2
"Buenos Aires","Varón","02.7 a 27 días","Q79",6
"Buenos Aires","Varón","02.7 a 27 días","Q89",8
"Buenos Aires","Varón","02.7 a 27 días","Q90",2
"Buenos Aires","Varón","02.7 a 27 días","Q91",1
"Buenos Aires","Varón","02.7 a 27 días","R68",1
"Buenos Aires","Varón","02.7 a 27 días","R95",7
"Buenos Aires","Varón","02.7 a 27 días","R99",1
"Buenos Aires","Varón","02.7 a 27 días","W84",2
"Buenos Aires","Varón","03.28 días a 11 meses","A05",3
"Buenos Aires","Varón","03.28 días a 11 meses","A09",7
"Buenos Aires","Varón","03.28 días a 11 meses","A37",2
"Buenos Aires","Varón","03.28 días a 11 meses","A41",46
"Buenos Aires","Varón","03.28 días a 11 meses","A49",1
"Buenos Aires","Varón","03.28 días a 11 meses","B01",1
"Buenos Aires","Varón","03.28 días a 11 meses","B20",1
"Buenos Aires","Varón","03.28 días a 11 meses","B24",1
"Buenos Aires","Varón","03.28 días a 11 meses","B25",1
"Buenos Aires","Varón","03.28 días a 11 meses","B37",3
"Buenos Aires","Varón","03.28 días a 11 meses","B57",1
"Buenos Aires","Varón","03.28 días a 11 meses","C64",1
"Buenos Aires","Varón","03.28 días a 11 meses","C91",1
"Buenos Aires","Varón","03.28 días a 11 meses","C92",1
"Buenos Aires","Varón","03.28 días a 11 meses","D43",1
"Buenos Aires","Varón","03.28 días a 11 meses","D48",1
"Buenos Aires","Varón","03.28 días a 11 meses","D61",1
"Buenos Aires","Varón","03.28 días a 11 meses","D64",1
"Buenos Aires","Varón","03.28 días a 11 meses","D68",1
"Buenos Aires","Varón","03.28 días a 11 meses","D69",1
"Buenos Aires","Varón","03.28 días a 11 meses","D82",1
"Buenos Aires","Varón","03.28 días a 11 meses","D84",1
"Buenos Aires","Varón","03.28 días a 11 meses","E27",1
"Buenos Aires","Varón","03.28 días a 11 meses","E43",1
"Buenos Aires","Varón","03.28 días a 11 meses","E44",1
"Buenos Aires","Varón","03.28 días a 11 meses","E46",4
"Buenos Aires","Varón","03.28 días a 11 meses","E70",1
"Buenos Aires","Varón","03.28 días a 11 meses","E84",1
"Buenos Aires","Varón","03.28 días a 11 meses","E88",2
"Buenos Aires","Varón","03.28 días a 11 meses","G00",5
"Buenos Aires","Varón","03.28 días a 11 meses","G03",2
"Buenos Aires","Varón","03.28 días a 11 meses","G04",5
"Buenos Aires","Varón","03.28 días a 11 meses","G12",2
"Buenos Aires","Varón","03.28 días a 11 meses","G47",1
"Buenos Aires","Varón","03.28 días a 11 meses","G70",1
"Buenos Aires","Varón","03.28 días a 11 meses","G71",5
"Buenos Aires","Varón","03.28 días a 11 meses","G80",3
"Buenos Aires","Varón","03.28 días a 11 meses","G91",5
"Buenos Aires","Varón","03.28 días a 11 meses","G93",5
"Buenos Aires","Varón","03.28 días a 11 meses","G98",1
"Buenos Aires","Varón","03.28 días a 11 meses","I27",1
"Buenos Aires","Varón","03.28 días a 11 meses","I33",1
"Buenos Aires","Varón","03.28 días a 11 meses","I38",1
"Buenos Aires","Varón","03.28 días a 11 meses","I42",2
"Buenos Aires","Varón","03.28 días a 11 meses","I50",12
"Buenos Aires","Varón","03.28 días a 11 meses","I51",1
"Buenos Aires","Varón","03.28 días a 11 meses","I61",3
"Buenos Aires","Varón","03.28 días a 11 meses","I82",1
"Buenos Aires","Varón","03.28 días a 11 meses","J12",4
"Buenos Aires","Varón","03.28 días a 11 meses","J18",51
"Buenos Aires","Varón","03.28 días a 11 meses","J21",7
"Buenos Aires","Varón","03.28 días a 11 meses","J44",2
"Buenos Aires","Varón","03.28 días a 11 meses","J69",55
"Buenos Aires","Varón","03.28 días a 11 meses","J80",4
"Buenos Aires","Varón","03.28 días a 11 meses","J81",1
"Buenos Aires","Varón","03.28 días a 11 meses","J96",31
"Buenos Aires","Varón","03.28 días a 11 meses","J98",9
"Buenos Aires","Varón","03.28 días a 11 meses","K56",3
"Buenos Aires","Varón","03.28 días a 11 meses","K59",1
"Buenos Aires","Varón","03.28 días a 11 meses","K65",1
"Buenos Aires","Varón","03.28 días a 11 meses","K76",2
"Buenos Aires","Varón","03.28 días a 11 meses","K83",1
"Buenos Aires","Varón","03.28 días a 11 meses","K92",1
"Buenos Aires","Varón","03.28 días a 11 meses","P07",19
"Buenos Aires","Varón","03.28 días a 11 meses","P21",1
"Buenos Aires","Varón","03.28 días a 11 meses","P22",3
"Buenos Aires","Varón","03.28 días a 11 meses","P26",1
"Buenos Aires","Varón","03.28 días a 11 meses","P27",7
"Buenos Aires","Varón","03.28 días a 11 meses","P28",2
"Buenos Aires","Varón","03.28 días a 11 meses","P29",4
"Buenos Aires","Varón","03.28 días a 11 meses","P52",2
"Buenos Aires","Varón","03.28 días a 11 meses","P77",2
"Buenos Aires","Varón","03.28 días a 11 meses","P96",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q03",4
"Buenos Aires","Varón","03.28 días a 11 meses","Q04",3
"Buenos Aires","Varón","03.28 días a 11 meses","Q05",2
"Buenos Aires","Varón","03.28 días a 11 meses","Q07",2
"Buenos Aires","Varón","03.28 días a 11 meses","Q20",3
"Buenos Aires","Varón","03.28 días a 11 meses","Q21",4
"Buenos Aires","Varón","03.28 días a 11 meses","Q22",3
"Buenos Aires","Varón","03.28 días a 11 meses","Q23",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q24",56
"Buenos Aires","Varón","03.28 días a 11 meses","Q25",3
"Buenos Aires","Varón","03.28 días a 11 meses","Q26",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q33",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q39",6
"Buenos Aires","Varón","03.28 días a 11 meses","Q43",2
"Buenos Aires","Varón","03.28 días a 11 meses","Q44",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q60",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q61",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q68",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q75",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q77",2
"Buenos Aires","Varón","03.28 días a 11 meses","Q78",1
"Buenos Aires","Varón","03.28 días a 11 meses","Q79",2
"Buenos Aires","Varón","03.28 días a 11 meses","Q87",5
"Buenos Aires","Varón","03.28 días a 11 meses","Q89",17
"Buenos Aires","Varón","03.28 días a 11 meses","Q90",11
"Buenos Aires","Varón","03.28 días a 11 meses","Q91",1
"Buenos Aires","Varón","03.28 días a 11 meses","R04",1
"Buenos Aires","Varón","03.28 días a 11 meses","R09",1
"Buenos Aires","Varón","03.28 días a 11 meses","R10",1
"Buenos Aires","Varón","03.28 días a 11 meses","R68",4
"Buenos Aires","Varón","03.28 días a 11 meses","R95",117
"Buenos Aires","Varón","03.28 días a 11 meses","R99",11
"Buenos Aires","Varón","03.28 días a 11 meses","W75",1
"Buenos Aires","Varón","03.28 días a 11 meses","W78",14
"Buenos Aires","Varón","03.28 días a 11 meses","W79",1
"Buenos Aires","Varón","03.28 días a 11 meses","W84",3
"Buenos Aires","Varón","03.28 días a 11 meses","W87",1
"Buenos Aires","Varón","03.28 días a 11 meses","X09",1
"Buenos Aires","Varón","03.28 días a 11 meses","X49",2
"Buenos Aires","Varón","03.28 días a 11 meses","X59",3
"Buenos Aires","Varón","03.28 días a 11 meses","Y34",3
"Buenos Aires","Varón","03.28 días a 11 meses","Y83",1
"Buenos Aires","Varón","04.1 año","A09",1
"Buenos Aires","Varón","04.1 año","A39",2
"Buenos Aires","Varón","04.1 año","A41",4
"Buenos Aires","Varón","04.1 año","C69",1
"Buenos Aires","Varón","04.1 año","C71",1
"Buenos Aires","Varón","04.1 año","C76",1
"Buenos Aires","Varón","04.1 año","D43",1
"Buenos Aires","Varón","04.1 año","D76",1
"Buenos Aires","Varón","04.1 año","G00",2
"Buenos Aires","Varón","04.1 año","G03",1
"Buenos Aires","Varón","04.1 año","G04",1
"Buenos Aires","Varón","04.1 año","G80",3
"Buenos Aires","Varón","04.1 año","G91",1
"Buenos Aires","Varón","04.1 año","G98",1
"Buenos Aires","Varón","04.1 año","I10",1
"Buenos Aires","Varón","04.1 año","I27",1
"Buenos Aires","Varón","04.1 año","I50",1
"Buenos Aires","Varón","04.1 año","J18",13
"Buenos Aires","Varón","04.1 año","J39",1
"Buenos Aires","Varón","04.1 año","J43",1
"Buenos Aires","Varón","04.1 año","J44",4
"Buenos Aires","Varón","04.1 año","J69",2
"Buenos Aires","Varón","04.1 año","J96",2
"Buenos Aires","Varón","04.1 año","J98",1
"Buenos Aires","Varón","04.1 año","K35",1
"Buenos Aires","Varón","04.1 año","K56",1
"Buenos Aires","Varón","04.1 año","Q21",1
"Buenos Aires","Varón","04.1 año","Q24",7
"Buenos Aires","Varón","04.1 año","Q33",2
"Buenos Aires","Varón","04.1 año","Q63",1
"Buenos Aires","Varón","04.1 año","Q78",1
"Buenos Aires","Varón","04.1 año","Q79",1
"Buenos Aires","Varón","04.1 año","Q85",1
"Buenos Aires","Varón","04.1 año","Q90",1
"Buenos Aires","Varón","04.1 año","Q91",1
"Buenos Aires","Varón","04.1 año","R09",1
"Buenos Aires","Varón","04.1 año","R95",1
"Buenos Aires","Varón","04.1 año","R96",1
"Buenos Aires","Varón","04.1 año","R99",3
"Buenos Aires","Varón","04.1 año","V05",1
"Buenos Aires","Varón","04.1 año","V49",1
"Buenos Aires","Varón","04.1 año","W74",4
"Buenos Aires","Varón","04.1 año","W80",1
"Buenos Aires","Varón","04.1 año","W87",1
"Buenos Aires","Varón","04.1 año","X59",4
"Buenos Aires","Varón","04.1 año","Y21",1
"Buenos Aires","Varón","04.1 año","Y34",1
"Buenos Aires","Varón","05.2 años","A09",1
"Buenos Aires","Varón","05.2 años","A41",4
"Buenos Aires","Varón","05.2 años","B20",1
"Buenos Aires","Varón","05.2 años","B24",1
"Buenos Aires","Varón","05.2 años","C41",1
"Buenos Aires","Varón","05.2 años","C71",1
"Buenos Aires","Varón","05.2 años","C91",1
"Buenos Aires","Varón","05.2 años","D43",2
"Buenos Aires","Varón","05.2 años","D76",1
"Buenos Aires","Varón","05.2 años","E76",1
"Buenos Aires","Varón","05.2 años","G00",2
"Buenos Aires","Varón","05.2 años","G03",2
"Buenos Aires","Varón","05.2 años","G91",1
"Buenos Aires","Varón","05.2 años","G93",2
"Buenos Aires","Varón","05.2 años","I50",1
"Buenos Aires","Varón","05.2 años","J18",7
"Buenos Aires","Varón","05.2 años","J44",3
"Buenos Aires","Varón","05.2 años","J69",2
"Buenos Aires","Varón","05.2 años","J96",5
"Buenos Aires","Varón","05.2 años","J98",1
"Buenos Aires","Varón","05.2 años","N18",1
"Buenos Aires","Varón","05.2 años","N19",3
"Buenos Aires","Varón","05.2 años","N28",1
"Buenos Aires","Varón","05.2 años","Q20",1
"Buenos Aires","Varón","05.2 años","Q21",1
"Buenos Aires","Varón","05.2 años","Q24",7
"Buenos Aires","Varón","05.2 años","Q28",1
"Buenos Aires","Varón","05.2 años","Q87",1
"Buenos Aires","Varón","05.2 años","Q89",1
"Buenos Aires","Varón","05.2 años","Q90",1
"Buenos Aires","Varón","05.2 años","R00",1
"Buenos Aires","Varón","05.2 años","R56",1
"Buenos Aires","Varón","05.2 años","R96",1
"Buenos Aires","Varón","05.2 años","R99",1
"Buenos Aires","Varón","05.2 años","V09",1
"Buenos Aires","Varón","05.2 años","V49",1
"Buenos Aires","Varón","05.2 años","W74",8
"Buenos Aires","Varón","05.2 años","W80",2
"Buenos Aires","Varón","05.2 años","W84",1
"Buenos Aires","Varón","05.2 años","W87",4
"Buenos Aires","Varón","05.2 años","X09",4
"Buenos Aires","Varón","05.2 años","X47",1
"Buenos Aires","Varón","05.2 años","X59",4
"Buenos Aires","Varón","05.2 años","Y21",1
"Buenos Aires","Varón","05.2 años","Y34",2
"Buenos Aires","Varón","06.3 años","A41",1
"Buenos Aires","Varón","06.3 años","B01",1
"Buenos Aires","Varón","06.3 años","B15",1
"Buenos Aires","Varón","06.3 años","B20",1
"Buenos Aires","Varón","06.3 años","C69",1
"Buenos Aires","Varón","06.3 años","C71",2
"Buenos Aires","Varón","06.3 años","C74",1
"Buenos Aires","Varón","06.3 años","C85",1
"Buenos Aires","Varón","06.3 años","C91",2
"Buenos Aires","Varón","06.3 años","C92",1
"Buenos Aires","Varón","06.3 años","C93",1
"Buenos Aires","Varón","06.3 años","D38",1
"Buenos Aires","Varón","06.3 años","E14",1
"Buenos Aires","Varón","06.3 años","E46",1
"Buenos Aires","Varón","06.3 años","G91",1
"Buenos Aires","Varón","06.3 años","G93",2
"Buenos Aires","Varón","06.3 años","G98",1
"Buenos Aires","Varón","06.3 años","I31",1
"Buenos Aires","Varón","06.3 años","I48",1
"Buenos Aires","Varón","06.3 años","I50",3
"Buenos Aires","Varón","06.3 años","J18",3
"Buenos Aires","Varón","06.3 años","J44",2
"Buenos Aires","Varón","06.3 años","J69",1
"Buenos Aires","Varón","06.3 años","J90",1
"Buenos Aires","Varón","06.3 años","J96",2
"Buenos Aires","Varón","06.3 años","J98",1
"Buenos Aires","Varón","06.3 años","N18",1
"Buenos Aires","Varón","06.3 años","Q03",2
"Buenos Aires","Varón","06.3 años","Q24",3
"Buenos Aires","Varón","06.3 años","R99",2
"Buenos Aires","Varón","06.3 años","V68",1
"Buenos Aires","Varón","06.3 años","W17",1
"Buenos Aires","Varón","06.3 años","W74",3
"Buenos Aires","Varón","06.3 años","W80",1
"Buenos Aires","Varón","06.3 años","W87",3
"Buenos Aires","Varón","06.3 años","X09",4
"Buenos Aires","Varón","06.3 años","X59",1
"Buenos Aires","Varón","06.3 años","Y02",1
"Buenos Aires","Varón","06.3 años","Y34",1
"Buenos Aires","Varón","06.3 años","Y83",1
"Buenos Aires","Varón","07.4 años","A40",1
"Buenos Aires","Varón","07.4 años","B01",2
"Buenos Aires","Varón","07.4 años","C15",2
"Buenos Aires","Varón","07.4 años","C18",1
"Buenos Aires","Varón","07.4 años","C71",2
"Buenos Aires","Varón","07.4 años","C72",1
"Buenos Aires","Varón","07.4 años","C74",1
"Buenos Aires","Varón","07.4 años","C91",1
"Buenos Aires","Varón","07.4 años","C92",1
"Buenos Aires","Varón","07.4 años","D43",1
"Buenos Aires","Varón","07.4 años","E46",1
"Buenos Aires","Varón","07.4 años","E76",1
"Buenos Aires","Varón","07.4 años","G00",1
"Buenos Aires","Varón","07.4 años","G37",1
"Buenos Aires","Varón","07.4 años","I21",1
"Buenos Aires","Varón","07.4 años","I49",1
"Buenos Aires","Varón","07.4 años","I50",1
"Buenos Aires","Varón","07.4 años","I62",1
"Buenos Aires","Varón","07.4 años","J18",1
"Buenos Aires","Varón","07.4 años","J96",2
"Buenos Aires","Varón","07.4 años","J98",1
"Buenos Aires","Varón","07.4 años","K57",1
"Buenos Aires","Varón","07.4 años","N18",1
"Buenos Aires","Varón","07.4 años","Q24",4
"Buenos Aires","Varón","07.4 años","Q90",1
"Buenos Aires","Varón","07.4 años","R56",1
"Buenos Aires","Varón","07.4 años","R96",1
"Buenos Aires","Varón","07.4 años","V89",1
"Buenos Aires","Varón","07.4 años","W54",1
"Buenos Aires","Varón","07.4 años","W74",2
"Buenos Aires","Varón","07.4 años","W87",1
"Buenos Aires","Varón","07.4 años","X09",1
"Buenos Aires","Varón","07.4 años","X47",2
"Buenos Aires","Varón","07.4 años","X59",2
"Buenos Aires","Varón","07.4 años","X95",1
"Buenos Aires","Varón","07.4 años","X99",1
"Buenos Aires","Varón","07.4 años","Y34",1
"Buenos Aires","Varón","08.5 a 9","A16",1
"Buenos Aires","Varón","08.5 a 9","A39",1
"Buenos Aires","Varón","08.5 a 9","A41",4
"Buenos Aires","Varón","08.5 a 9","A81",1
"Buenos Aires","Varón","08.5 a 9","A86",1
"Buenos Aires","Varón","08.5 a 9","B01",1
"Buenos Aires","Varón","08.5 a 9","B15",1
"Buenos Aires","Varón","08.5 a 9","B20",1
"Buenos Aires","Varón","08.5 a 9","B24",1
"Buenos Aires","Varón","08.5 a 9","C34",1
"Buenos Aires","Varón","08.5 a 9","C49",1
"Buenos Aires","Varón","08.5 a 9","C64",1
"Buenos Aires","Varón","08.5 a 9","C71",7
"Buenos Aires","Varón","08.5 a 9","C74",1
"Buenos Aires","Varón","08.5 a 9","C76",1
"Buenos Aires","Varón","08.5 a 9","C83",1
"Buenos Aires","Varón","08.5 a 9","C85",3
"Buenos Aires","Varón","08.5 a 9","C91",9
"Buenos Aires","Varón","08.5 a 9","C92",2
"Buenos Aires","Varón","08.5 a 9","C95",1
"Buenos Aires","Varón","08.5 a 9","D14",1
"Buenos Aires","Varón","08.5 a 9","D43",3
"Buenos Aires","Varón","08.5 a 9","E14",1
"Buenos Aires","Varón","08.5 a 9","E43",2
"Buenos Aires","Varón","08.5 a 9","E76",1
"Buenos Aires","Varón","08.5 a 9","E84",3
"Buenos Aires","Varón","08.5 a 9","F06",1
"Buenos Aires","Varón","08.5 a 9","G00",2
"Buenos Aires","Varón","08.5 a 9","G03",1
"Buenos Aires","Varón","08.5 a 9","G04",3
"Buenos Aires","Varón","08.5 a 9","G40",1
"Buenos Aires","Varón","08.5 a 9","G80",3
"Buenos Aires","Varón","08.5 a 9","G91",3
"Buenos Aires","Varón","08.5 a 9","G93",1
"Buenos Aires","Varón","08.5 a 9","I42",1
"Buenos Aires","Varón","08.5 a 9","I50",3
"Buenos Aires","Varón","08.5 a 9","I61",1
"Buenos Aires","Varón","08.5 a 9","J18",5
"Buenos Aires","Varón","08.5 a 9","J69",1
"Buenos Aires","Varón","08.5 a 9","J81",1
"Buenos Aires","Varón","08.5 a 9","J96",4
"Buenos Aires","Varón","08.5 a 9","J98",2
"Buenos Aires","Varón","08.5 a 9","K56",1
"Buenos Aires","Varón","08.5 a 9","K71",1
"Buenos Aires","Varón","08.5 a 9","K72",1
"Buenos Aires","Varón","08.5 a 9","K76",1
"Buenos Aires","Varón","08.5 a 9","N04",1
"Buenos Aires","Varón","08.5 a 9","N17",1
"Buenos Aires","Varón","08.5 a 9","N18",2
"Buenos Aires","Varón","08.5 a 9","Q04",1
"Buenos Aires","Varón","08.5 a 9","Q05",1
"Buenos Aires","Varón","08.5 a 9","Q24",2
"Buenos Aires","Varón","08.5 a 9","R96",1
"Buenos Aires","Varón","08.5 a 9","R99",2
"Buenos Aires","Varón","08.5 a 9","V09",1
"Buenos Aires","Varón","08.5 a 9","V49",3
"Buenos Aires","Varón","08.5 a 9","V81",1
"Buenos Aires","Varón","08.5 a 9","V89",4
"Buenos Aires","Varón","08.5 a 9","W23",1
"Buenos Aires","Varón","08.5 a 9","W74",7
"Buenos Aires","Varón","08.5 a 9","W75",1
"Buenos Aires","Varón","08.5 a 9","W87",3
"Buenos Aires","Varón","08.5 a 9","X09",1
"Buenos Aires","Varón","08.5 a 9","X47",5
"Buenos Aires","Varón","08.5 a 9","X59",16
"Buenos Aires","Varón","08.5 a 9","Y09",2
"Buenos Aires","Varón","08.5 a 9","Y20",1
"Buenos Aires","Varón","08.5 a 9","Y24",1
"Buenos Aires","Varón","08.5 a 9","Y83",3
"Buenos Aires","Varón","09.10 a 14","A41",8
"Buenos Aires","Varón","09.10 a 14","B17",1
"Buenos Aires","Varón","09.10 a 14","B20",1
"Buenos Aires","Varón","09.10 a 14","B21",1
"Buenos Aires","Varón","09.10 a 14","B24",3
"Buenos Aires","Varón","09.10 a 14","C16",1
"Buenos Aires","Varón","09.10 a 14","C34",3
"Buenos Aires","Varón","09.10 a 14","C41",3
"Buenos Aires","Varón","09.10 a 14","C49",2
"Buenos Aires","Varón","09.10 a 14","C71",5
"Buenos Aires","Varón","09.10 a 14","C72",1
"Buenos Aires","Varón","09.10 a 14","C75",1
"Buenos Aires","Varón","09.10 a 14","C76",1
"Buenos Aires","Varón","09.10 a 14","C79",2
"Buenos Aires","Varón","09.10 a 14","C80",1
"Buenos Aires","Varón","09.10 a 14","C85",1
"Buenos Aires","Varón","09.10 a 14","C91",7
"Buenos Aires","Varón","09.10 a 14","C92",2
"Buenos Aires","Varón","09.10 a 14","C95",2
"Buenos Aires","Varón","09.10 a 14","D43",2
"Buenos Aires","Varón","09.10 a 14","D47",1
"Buenos Aires","Varón","09.10 a 14","D56",1
"Buenos Aires","Varón","09.10 a 14","D70",1
"Buenos Aires","Varón","09.10 a 14","E46",2
"Buenos Aires","Varón","09.10 a 14","E71",1
"Buenos Aires","Varón","09.10 a 14","E76",1
"Buenos Aires","Varón","09.10 a 14","F79",1
"Buenos Aires","Varón","09.10 a 14","G00",1
"Buenos Aires","Varón","09.10 a 14","G04",1
"Buenos Aires","Varón","09.10 a 14","G40",1
"Buenos Aires","Varón","09.10 a 14","G71",2
"Buenos Aires","Varón","09.10 a 14","G80",2
"Buenos Aires","Varón","09.10 a 14","G93",4
"Buenos Aires","Varón","09.10 a 14","I21",2
"Buenos Aires","Varón","09.10 a 14","I49",1
"Buenos Aires","Varón","09.10 a 14","I50",5
"Buenos Aires","Varón","09.10 a 14","I60",1
"Buenos Aires","Varón","09.10 a 14","I61",4
"Buenos Aires","Varón","09.10 a 14","I64",1
"Buenos Aires","Varón","09.10 a 14","J18",3
"Buenos Aires","Varón","09.10 a 14","J44",1
"Buenos Aires","Varón","09.10 a 14","J96",4
"Buenos Aires","Varón","09.10 a 14","J98",6
"Buenos Aires","Varón","09.10 a 14","K20",1
"Buenos Aires","Varón","09.10 a 14","K74",1
"Buenos Aires","Varón","09.10 a 14","M08",1
