"DimensionCode","DimensionMemberCode","DisplayString","DisplaySequence","URL"
"AGEGROUP","AGE20-85","20-85 years","250",""
"AGEGROUP","AGE20-90","20-90 years","253",""
"AGEGROUP","AGE21-30","21-30 years","53",""
"AGEGROUP","AGE21-34","21-34 years","59",""
"AGEGROUP","AGE23-27","23-27 years","39",""
"AGEGROUP","AGE24-35","24-35 years","64",""
"AGEGROUP","AGE25-25","25-25 years","37",""
"AGEGROUP","AGE25-30","25-30 years","54",""
"AGEGROUP","AGE25-35","25-35 years","65",""
"AGEGROUP","AGE25-39","25-39 years","74",""
"AGEGROUP","AGE25-44","25-44 years","93",""
"AGEGROUP","AGE25-45","25-45 years","98",""
"AGEGROUP","AGE25-49","25-49 years","113",""
"AGEGROUP","AGE25-64","25-64 years","172",""
"AGEGROUP","AGE25-65","25-65 years","183",""
"AGEGROUP","AGE25-69","25-69 years","196",""
"AGEGROUP","AGE25-74","25-74 years","214",""
"AGEGROUP","AGE26-26","26-26 years","38",""
"AGEGROUP","AGE28-32","28-32 years","55",""
"AGEGROUP","AGE30-35","30-35 years","66",""
"AGEGROUP","AGE30-39","30-39 years","75",""
"AGEGROUP","AGE30-40","30-40 years","80",""
"AGEGROUP","AGE30-49","30-49 years","114",""
"AGEGROUP","AGE30-54","30-54 years","133",""
"AGEGROUP","AGE30-70","30-70 years","205",""
"AGEGROUP","AGE30-74","30-74 years","215",""
"AGEGROUP","AGE30-79","30-79 years","232",""
"AGEGROUP","AGE31-36","31-36 years","68",""
"AGEGROUP","AGE31-39","31-39 years","77",""
"AGEGROUP","AGE31-40","31-40 years","81",""
"AGEGROUP","AGE31-50","31-50 years","123",""
"AGEGROUP","AGE33-37","33-37 years","70",""
"AGEGROUP","AGE33-38","33-38 years","71",""
"AGEGROUP","AGE34-44","34-44 years","95",""
"AGEGROUP","AGE35-29","35-29 years","51",""
"AGEGROUP","AGE35-34","35-34 years","62",""
"AGEGROUP","AGE35-35","35-35 years","67",""
"AGEGROUP","AGE35-40","35-40 years","82",""
"AGEGROUP","AGE35-45","35-45 years","99",""
"AGEGROUP","AGE35-49","35-49 years","116",""
"AGEGROUP","AGE35-54","35-54 years","134",""
"AGEGROUP","AGE35-55","35-55 years","140",""
"AGEGROUP","AGE35-59","35-59 years","152",""
"AGEGROUP","AGE35-60","35-60 years","164",""
"AGEGROUP","AGE35-64","35-64 years","173",""
"AGEGROUP","AGE35-74","35-74 years","216",""
"AGEGROUP","AGE36-36","36-36 years","69",""
"AGEGROUP","AGE36-45","36-45 years","100",""
"AGEGROUP","AGE36-47","36-47 years","104",""
"AGEGROUP","AGE36-50","36-50 years","124",""
"AGEGROUP","AGE37-42","37-42 years","84",""
"AGEGROUP","AGE37-43","37-43 years","86",""
"AGEGROUP","AGE38-42","38-42 years","85",""
"AGEGROUP","AGE39-43","39-43 years","87",""
"AGEGROUP","AGE40-45","40-45 years","101",""
"AGEGROUP","AGE40-49","40-49 years","117",""
"AGEGROUP","AGE40-50","40-50 years","125",""
"AGEGROUP","AGE40-59","40-59 years","153",""
"AGEGROUP","AGE40-65","40-65 years","184",""
"AGEGROUP","AGE40-69","40-69 years","197",""
"AGEGROUP","AGE40-79","40-79 years","233",""
"AGEGROUP","AGE40-80","40-80 years","241",""
"AGEGROUP","AGE40-84","40-84 years","246",""
"AGEGROUP","AGE41-50","41-50 years","126",""
"AGEGROUP","AGE42-65","42-65 years","185",""
"AGEGROUP","AGE43-43","43-43 years","88",""
"AGEGROUP","AGE43-47","43-47 years","105",""
"AGEGROUP","AGE43-48","43-48 years","106",""
"AGEGROUP","AGE44-48","44-48 years","107",""
"AGEGROUP","AGE44-49","44-49 years","119",""
"AGEGROUP","AGE45-45","45-45 years","102",""
"AGEGROUP","AGE45-50","45-50 years","127",""
"AGEGROUP","AGE45-55","45-55 years","141",""
"AGEGROUP","AGE45-64","45-64 years","174",""
"AGEGROUP","AGE45-66","45-66 years","191",""
"AGEGROUP","AGE45-69","45-69 years","198",""
"AGEGROUP","AGE46-55","46-55 years","142",""
"AGEGROUP","AGE46-64","46-64 years","175",""
"AGEGROUP","AGE48-52","48-52 years","128",""
"AGEGROUP","AGE48-59","48-59 years","155",""
"AGEGROUP","AGE49-49","49-49 years","121",""
"AGEGROUP","AGE49-53","49-53 years","129",""
"AGEGROUP","AGE49-54","49-54 years","136",""
"AGEGROUP","AGE50-55","50-55 years","143",""
"AGEGROUP","AGE50-59","50-59 years","156",""
"AGEGROUP","AGE50-64","50-64 years","176",""
"AGEGROUP","AGE50-65","50-65 years","186",""
"AGEGROUP","AGE50-79","50-79 years","234",""
"AGEGROUP","AGE51-59","51-59 years","158",""
"AGEGROUP","AGE51-60","51-60 years","165",""
"AGEGROUP","AGE51-64","51-64 years","177",""
"AGEGROUP","AGE53-53","53-53 years","130",""
"AGEGROUP","AGE53-57","53-57 years","145",""
"AGEGROUP","AGE53-75","53-75 years","223",""
"AGEGROUP","AGE54-59","54-59 years","159",""
"AGEGROUP","AGE54-74","54-74 years","217",""
"AGEGROUP","AGE55-54","55-54 years","138",""
"AGEGROUP","AGE55-55","55-55 years","144",""
"AGEGROUP","AGE55-60","55-60 years","166",""
"AGEGROUP","AGE55-65","55-65 years","187",""
"AGEGROUP","AGE55-74","55-74 years","218",""
"AGEGROUP","AGE56-65","56-65 years","188",""
"AGEGROUP","AGE56-75","56-75 years","224",""
"AGEGROUP","AGE58-64","58-64 years","179",""
"AGEGROUP","AGE60-65","60-65 years","189",""
"AGEGROUP","AGE60-70","60-70 years","206",""
"AGEGROUP","AGE60-74","60-74 years","219",""
"AGEGROUP","AGE60-79","60-79 years","235",""
"AGEGROUP","AGE60-85","60-85 years","251",""
"AGEGROUP","AGE60-90","60-90 years","254",""
"AGEGROUP","AGE60-97","60-97 years","259",""
"AGEGROUP","AGE61-66","61-66 years","192",""
"AGEGROUP","AGE61-70","61-70 years","207",""
"AGEGROUP","AGE61-75","61-75 years","225",""
"AGEGROUP","AGE65-65","65-65 years","190",""
"AGEGROUP","AGE65-70","65-70 years","208",""
"AGEGROUP","AGE65-75","65-75 years","226",""
"AGEGROUP","AGE65-79","65-79 years","236",""
"AGEGROUP","AGE65-84","65-84 years","247",""
"AGEGROUP","AGE67-72","67-72 years","209",""
"AGEGROUP","AGE67-79","67-79 years","237",""
"AGEGROUP","AGE70-75","70-75 years","227",""
"AGEGROUP","AGE70-93","70-93 years","256",""
"AGEGROUP","AGE73-80","73-80 years","242",""
"AGEGROUP","AGE75-84","75-84 years","248",""
"AGEGROUP","AGE15-100","15-100 years","263",""
"AGEGROUP","AGE16-100","16-100 years","266",""
