anio_enfr,sexo,grupo_edad_10,proy_pob,pob_est_2010,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,defun_n,defun_mean,defun_se,ex,fwd,AVP,AVP_inf,AVP_sup,AVD,AVD_inf,AVD_sup,AVAD,AVAD_inf,AVAD_sup,AVP_tasa,AVP_tasa_inf,AVP_tasa_sup,AVD_tasa,AVD_tasa_inf,AVD_tasa_sup,AVAD_tasa,AVAD_tasa_inf,AVAD_tasa_sup
2005,Mujer,30 a 39,2567823,2948351,166851,21606.0661084538,150165.9,19445.4594976081,0.0592339804136354,0.00741163939375641,0.125124790567853,70,0.972222222222222,0.569275042553311,50.7150874845366,0.0643872796179425,50.677972550114,6.29980996151061,106.28510097174,9649.36695030258,7209.33678404198,12111.3163896499,9704.98889391334,7259.25565025648,12166.0846783913,1.9735773279589,0.24533661243437,4.13911320880527,375.78006546022,280.75676493442,471.656979069426,377.946178296298,282.700780009233,473.789847602087
2005,Mujer,40 a 49,2238748,2333346,114483,15249.1132169631,103034.7,13724.2018952712,0.0526401647133355,0.00689387339593319,0.130962230712526,278,3.86111111111111,1.13447654759234,46.1550939869203,0.0607444624951787,177.581023681212,76.9020614636678,279.647468038128,6263.33012208952,4612.01210600034,7880.96400965998,6439.69097131281,4780.72142987768,8051.79578764328,7.93215778109963,3.43504769021202,12.4912436789727,279.769322947001,206.008541649187,352.025507545288,287.646978191061,213.544419911383,359.656191212377
2005,Mujer,50 a 59,1921460,2043266,211742,24817.0806831819,190567.8,22335.3726148882,0.109788560818219,0.0120507063783486,0.109762859523238,1015,14.0972222222222,2.16773477945852,41.9936509794637,0.095738854348258,593.720817400367,414.795764928794,775.73432268076,18268.7114001297,14040.052969876,22522.724828809,18854.0676698102,14612.5012220388,23098.9922221417,30.8994627731187,21.5875305720022,40.3721296660227,950.772402242551,730.697124575897,1172.1672493213,981.236542515079,760.48948310341,1202.15837030913
2005,Mujer,60 a 69,1441123,1572788,258002,28737.3723429759,232201.8,25863.6351087059,0.180897327928788,0.0174865125488647,0.096665399920934,2487,34.5416666666667,3.39321217858372,38.7722836625193,0.141268066304241,1339.49684052083,1079.86087708429,1588.94174842418,32859.1926990933,25590.155589978,40024.0324126593,34200.7192908002,26949.9389885028,41395.1915553467,92.9481272952296,74.931902209894,110.257191677891,2280.11021259763,1775.70933154061,2777.28080203142,2373.19918499672,1870.06514978269,2872.42598691067
2005,Mujer,70 a 79,1091398,1067525,152418,19824.8948656208,137176.2,17842.4053790938,0.143781824585088,0.0168155422801656,0.116951793654659,4077,56.625,4.34453679924569,37.9917924303777,0.184921326838426,2152.12463889621,1830.99466224555,2478.11566353392,25354.9190443507,18991.9281325102,31651.9342481959,27497.2952028369,21078.5276959603,33831.0055897373,197.189718040184,167.76599024788,227.058842286125,2323.15974963769,1740.14686965802,2900.12756558065,2519.45625728074,1931.3328131406,3099.78629150295
2005,Mujer,80+,538776,671649,57686,11302.384209883,51917.4,10172.1457888939,0.117631838316095,0.021454826490573,0.182389621701912,4361,60.5694444444444,4.49330778100219,27.6229305313704,0.199850784311032,1674.46497008195,1433.35124123747,1917.51058860154,10387.0956383219,6418.8971804043,14258.4193287822,12062.0880661546,8086.62513654253,15943.9253510011,310.790564182878,266.03843549777,355.901262974138,1927.90614992537,1191.3851360128,2646.446636224,2238.7946133745,1500.92527071409,2959.28648473598
2005,Varón,30 a 39,2563846,2875168,72953,13328.1732182836,65657.7,11995.3558964592,0.0322392267813951,0.00579439013592666,0.179731051715872,81,1.125,0.612372435695795,45.3386501397284,0.016576188398,51.7448870809861,7.09005832435282,107.228588842363,1088.27910183469,693.435240485468,1485.4027637502,1140.31295358853,742.966159346974,1543.82782478789,2.01825254250786,0.27653994523668,4.18233344913708,42.4471322316038,27.0466806698011,57.9365049129394,44.4766555241044,28.9785798112279,60.2153103106773
2005,Varón,40 a 49,2141565,2226600,108531,19742.669312841,97677.9,17768.4023815817,0.0533738308513714,0.00935340240315107,0.175243227888162,363,5.04166666666667,1.29636243217534,41.0383393552881,0.0872595074687928,206.201986182902,102.835553859845,312.493240401672,8554.68758277244,5543.16955717051,11576.2997420492,8761.7205095949,5736.5781424656,11783.329250582,9.6285653801263,4.80188805195474,14.5918167509122,399.459628018409,258.83732490821,540.553274920405,409.126994025159,267.868504690056,550.220481310722
2005,Varón,50 a 59,1776537,1896227,208046,25017.4408116948,187241.4,22515.6967305227,0.112290244483132,0.0127821116081732,0.113831007021213,1619,22.4861111111111,2.73776740618526,37.2275117125716,0.149790434322404,837.713080600911,635.752215079982,1036.65847631546,28105.6204800267,21434.0711590575,34677.6539407785,28953.6085468755,22237.4048887801,35500.8877502591,47.1542715181789,35.7860385165061,58.3527658762786,1582.04532075756,1206.50857027225,1951.98039448537,1629.77796391944,1251.72765266246,1998.31963816454
2005,Varón,60 a 69,1229477,1360347,229519,25772.7799679094,206567.1,23195.5019711517,0.179775827526966,0.0180824873757278,0.100583530191318,3414,47.4166666666667,3.97562014729219,35.0931757395918,0.20417545409127,1665.39375851349,1389.70457974882,1938.57865067071,42214.9984366355,32851.1963589615,51573.2935672794,43876.1864334551,34553.4215138664,53225.4317238022,135.455462649036,113.032173822595,157.67506432985,3433.57366072204,2671.96510052335,4194.73431119731,3568.68704607367,2810.41625942303,4329.11162419486
