anio_enfr,codprov_censo,prov_nombre,region_deis,sexo,grupo_edad_10,proy_pob,dm_total,dm_total_se,dm2_total,dm2_total_se,dm2_prev,dm2_prev_se,dm2_prev_cv,defun_n,defun_mean,defun_se,ex,fwd,AVP,AVP_inf,AVP_sup,AVD,AVD_inf,AVD_sup,AVAD,AVAD_inf,AVAD_sup,AVP_tasa,AVP_tasa_inf,AVP_tasa_sup,AVD_tasa,AVD_tasa_inf,AVD_tasa_sup,AVAD_tasa,AVAD_tasa_inf,AVAD_tasa_sup
2005,02,CABA,Centro,Mujer,30 a 39,224243,8244,4595.63836597044,7419.6,4136.07452937063,0.0286448922863099,0.0156604060837573,0.54670849962462,1,0.333333333333333,0.333333333333333,50.7150874845366,0.0643872796179425,20.3184535770609,1.41894228280837,51.0114852663681,484.134597709044,59.1173208069057,999.953481059645,507.847919734792,80.4003496460132,1019.80064967907,9.0609087360858,0.63276993387012,22.7483066434038,215.897306809597,26.3630618600829,445.924056072941,226.472139480292,35.8541179194058,454.774797732403
2005,02,CABA,Centro,Mujer,40 a 49,194853,8240,3738.24454412491,7416,3364.42008971012,0.0357113620494547,0.0159426279113946,0.446430127456818,5,1.66666666666667,0.74535599249993,46.1550939869203,0.0607444624951787,76.7860807514536,16.174538832249,143.575915611308,456.884114406001,82.2806042421951,851.95415403674,534.173657176718,157.445935751298,936.567232041888,39.4071842627281,8.30089289477144,73.6842212392461,234.476304909855,42.227014335009,437.229169700615,274.141869602582,80.8024181055965,480.653226812976
2005,02,CABA,Centro,Mujer,50 a 59,187843,6389,2770.90303122255,5750.1,2493.81272809754,0.0279878315891945,0.0120925348194286,0.432064012565277,24,8,1.63299316185545,41.9936509794637,0.095738854348258,337.333165488502,202.964024689633,474.977280246056,553.666352509021,118.118429181557,1023.14459635771,887.966052915277,434.115792526985,1378.72219116087,179.582505330782,108.049820695811,252.858653368002,294.749526204874,62.8814644046129,544.680715468616,472.717137670968,231.105653405762,733.975815527259
2005,02,CABA,Centro,Mujer,60 a 69,169062,36196,11032.8568041597,32576.4,9929.57112374188,0.214245126667193,0.0536022281253678,0.250191119673089,55,18.3333333333333,2.47206616236522,38.7722836625193,0.141268066304241,712.037689925564,520.423849941298,894.14108306184,4629.02358573408,1862.48323513023,7382.00462335484,5335.50270305921,2563.44781370312,8106.57679911649,421.169564967624,307.830174694076,528.883535662562,2738.06271411321,1101.65692771305,4366.44818075904,3155.94438907573,1516.2767586466,4795.03188127225
2005,02,CABA,Centro,Mujer,70 a 79,147823,13351,3817.10071291447,12015.9,3435.39064162436,0.109479294792948,0.029571131115663,0.270107066104045,138,46,3.91578004149024,37.9917924303777,0.184921326838426,1748.37900575294,1455.10877798354,2037.26624056451,2212.49087898168,1019.03026560953,3455.24831282599,3956.90135885208,2736.41303889238,5243.55155631109,1182.75167311781,984.358846717726,1378.17947177673,1496.71626132718,689.358398631827,2337.42266956157,2676.78328734505,1851.14159426637,3547.18247925633
2005,02,CABA,Centro,Mujer,80+,100219,7561,3509.0849972623,6804.9,3158.17649753916,0.0903405243942914,0.0396508703024391,0.438904584274746,291,97,5.68624070307733,27.6229305313704,0.199850784311032,2681.60950663332,2375.56958060216,2986.28122425934,1377.267627094,264.147884282404,2582.74650744201,4053.37806296757,2910.22929467026,5301.56202426349,2675.74961497652,2370.37845179273,2979.75555958385,1374.25800206947,263.570664527089,2577.10265263274,4044.52056293474,2903.86981976497,5289.97697468892
2005,02,CABA,Centro,Varón,30 a 39,213307,7239,3484.36630473632,6515.1,3135.92967426478,0.0329753258256358,0.0156628543528482,0.474987099010604,4,1.33333333333333,0.666666666666667,45.3386501397284,0.016576188398,60.7388089534168,9.86035833452457,119.974822339674,109.128801218705,18.5171333053172,213.023583449989,171.026734014474,67.5806919421241,288.745387285433,28.4748315589347,4.62261357317133,56.2451407312811,51.1604406881655,8.68097779506402,99.8671320912998,80.1786786249274,31.6823601392004,135.366109544194
2005,02,CABA,Centro,Varón,40 a 49,176243,10161,4250.18199258166,9144.9,3825.16379332708,0.059196038450335,0.0240667200116853,0.406559638815645,5,1.66666666666667,0.74535599249993,41.0383393552881,0.0872595074687928,68.3608143926147,13.8539531156558,129.076666897644,807.95259850482,188.372841221028,1458.63714209531,875.437163542238,257.96149220734,1527.88167271408,38.7878181786594,7.86071112932476,73.2378970498938,458.431029036512,106.882452761828,827.628411962635,496.721664714195,146.366943485608,866.917649333067
2005,02,CABA,Centro,Varón,50 a 59,153967,18480,6645.48564708181,16632,5980.93708235791,0.122195283226802,0.0412155374030072,0.337292375897265,46,15.3333333333333,2.26077666104176,37.2275117125716,0.149790434322404,571.881371156607,404.5540217763,737.007147117516,2510.67927513602,766.487706237706,4254.47859204251,3080.07703017764,1328.49917461581,4831.13550171883,371.431132097532,262.753721106666,478.678643551875,1630.66064490184,497.825966757621,2763.24055936825,2000.47869360164,862.846697419456,3137.77335514677
2005,02,CABA,Centro,Varón,60 a 69,118792,27458,7848.98507538241,24712.2,7064.0865678445,0.161312053265446,0.0417544586502747,0.258842769681729,86,28.6666666666667,3.09120616516523,35.0931757395918,0.20417545409127,1006.41717059393,792.373086947461,1216.13606313595,5044.86950678804,2214.13267035509,7907.48236277855,6053.14721711444,3217.60303576523,8923.63540543807,847.209551648202,667.025630469612,1023.75249439015,4246.80913427506,1863.87355238997,6656.57818942231,5095.5849022783,2708.60246124758,7511.98347147794
