anio,sexo,grupo_edad_10,comp_tipo,comp_qualidiab,comp_frec,dw
2005,Varón,50 a 59,microvascular,Nefropatía,0.0978260869565217,0.242893275079427
2005,Varón,50 a 59,microvascular,Neuropatía periférica,0.173913043478261,0.133189991499999
2005,Varón,50 a 59,microvascular,Retinopatía no proliferativa,0.0579710144927536,0.1074453071
2005,Varón,50 a 59,microvascular,Retinopatía proliferativa,0.0434782608695652,0.1840484878
2005,Varón,60 a 69,macrovascular,ACV,0.0427046263345196,0.403952630975241
2005,Varón,60 a 69,,Sin complicaciones,0.494661921708185,0.0490114147
2005,Varón,60 a 69,microvascular,Amputación,0.0462633451957295,0.224603255005897
2005,Varón,60 a 69,microvascular,Ceguera,0.00355871886120996,0.1873645834
2005,Varón,60 a 69,macrovascular,Claudicación miembros inferiores,0.106761565836299,0.0141852508
2005,Varón,60 a 69,microvascular,Disfunción eréctil,0.206405693950178,0.133189991499999
2005,Varón,60 a 69,macrovascular,IAM,0.0676156583629893,0.25318521505
2005,Varón,60 a 69,microvascular,Nefropatía,0.113879003558719,0.242893275079427
2005,Varón,60 a 69,microvascular,Neuropatía periférica,0.209964412811388,0.133189991499999
2005,Varón,60 a 69,microvascular,Retinopatía no proliferativa,0.110320284697509,0.1074453071
2005,Varón,60 a 69,microvascular,Retinopatía proliferativa,0.0249110320284698,0.1840484878
2005,Varón,70 a 79,macrovascular,ACV,0.0480769230769231,0.403952630975241
2005,Varón,70 a 79,,Sin complicaciones,0.375,0.0490114147
2005,Varón,70 a 79,microvascular,Amputación,0.0576923076923077,0.224603255005897
2005,Varón,70 a 79,microvascular,Ceguera,0.0288461538461538,0.1873645834
2005,Varón,70 a 79,macrovascular,Claudicación miembros inferiores,0.0769230769230769,0.0141852508
2005,Varón,70 a 79,microvascular,Disfunción eréctil,0.163461538461538,0.133189991499999
2005,Varón,70 a 79,macrovascular,IAM,0.105769230769231,0.25318521505
2005,Varón,70 a 79,microvascular,Nefropatía,0.182692307692308,0.242893275079427
2005,Varón,70 a 79,microvascular,Neuropatía periférica,0.365384615384615,0.133189991499999
2005,Varón,70 a 79,microvascular,Retinopatía no proliferativa,0.144230769230769,0.1074453071
2005,Varón,70 a 79,microvascular,Retinopatía proliferativa,0.0192307692307692,0.1840484878
2005,Varón,80+,,Sin complicaciones,0.571428571428571,0.0490114147
2005,Varón,80+,macrovascular,Claudicación miembros inferiores,0.214285714285714,0.0141852508
2005,Varón,80+,microvascular,Disfunción eréctil,0.0714285714285714,0.133189991499999
2005,Varón,80+,macrovascular,IAM,0.0714285714285714,0.25318521505
2005,Varón,80+,microvascular,Neuropatía periférica,0.214285714285714,0.133189991499999
2005,Varón,80+,microvascular,Retinopatía no proliferativa,0.142857142857143,0.1074453071
2009,Mujer,30 a 39,macrovascular,ACV,0.0909090909090909,0.403952630975241
2009,Mujer,30 a 39,,Sin complicaciones,0.909090909090909,0.0490114147
2009,Mujer,40 a 49,,Sin complicaciones,0.92,0.0490114147
2009,Mujer,40 a 49,microvascular,Neuropatía periférica,0.08,0.133189991499999
2009,Mujer,50 a 59,,Sin complicaciones,0.928571428571429,0.0490114147
2009,Mujer,50 a 59,macrovascular,Claudicación miembros inferiores,0.00595238095238095,0.0141852508
2009,Mujer,50 a 59,macrovascular,IAM,0.0119047619047619,0.25318521505
2009,Mujer,50 a 59,microvascular,Nefropatía,0.0178571428571429,0.242893275079427
2009,Mujer,50 a 59,microvascular,Neuropatía periférica,0.0357142857142857,0.133189991499999
2009,Mujer,50 a 59,microvascular,Retinopatía no proliferativa,0.0297619047619048,0.1074453071
2009,Mujer,50 a 59,microvascular,Retinopatía proliferativa,0.00595238095238095,0.1840484878
2009,Mujer,60 a 69,macrovascular,ACV,0.0258620689655172,0.403952630975241
2009,Mujer,60 a 69,,Sin complicaciones,0.793103448275862,0.0490114147
2009,Mujer,60 a 69,microvascular,Amputación,0.0172413793103448,0.224603255005897
2009,Mujer,60 a 69,microvascular,Ceguera,0.00862068965517241,0.1873645834
2009,Mujer,60 a 69,macrovascular,Claudicación miembros inferiores,0.0431034482758621,0.0141852508
2009,Mujer,60 a 69,macrovascular,IAM,0.00862068965517241,0.25318521505
2009,Mujer,60 a 69,microvascular,Nefropatía,0.0172413793103448,0.242893275079427
2009,Mujer,60 a 69,microvascular,Neuropatía periférica,0.120689655172414,0.133189991499999
2009,Mujer,60 a 69,microvascular,Retinopatía no proliferativa,0.0344827586206897,0.1074453071
2009,Mujer,60 a 69,microvascular,Retinopatía proliferativa,0.0172413793103448,0.1840484878
2009,Mujer,70 a 79,macrovascular,ACV,0.02,0.403952630975241
2009,Mujer,70 a 79,,Sin complicaciones,0.62,0.0490114147
2009,Mujer,70 a 79,macrovascular,Claudicación miembros inferiores,0.1,0.0141852508
2009,Mujer,70 a 79,macrovascular,IAM,0.08,0.25318521505
2009,Mujer,70 a 79,microvascular,Nefropatía,0.04,0.242893275079427
